,seed,gen,args_kphen,args_kmate,rbeta_hat_pgwas_ADHD.phenotype_ADHD.phenotype,rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype,rbeta_hat_pgwas_ADHD.phenotype_ANX.phenotype,rbeta_hat_pgwas_ADHD.phenotype_BIP.phenotype,rbeta_hat_pgwas_ADHD.phenotype_MDD.phenotype,rbeta_hat_pgwas_ADHD.phenotype_SCZ.phenotype,rbeta_hat_pgwas_ALC.phenotype_ANX.phenotype,rbeta_hat_pgwas_ALC.phenotype_BIP.phenotype,rbeta_hat_pgwas_ALC.phenotype_MDD.phenotype,rbeta_hat_pgwas_ALC.phenotype_SCZ.phenotype,rbeta_hat_pgwas_ANX.phenotype_BIP.phenotype,rbeta_hat_pgwas_ANX.phenotype_MDD.phenotype,rbeta_hat_pgwas_ANX.phenotype_SCZ.phenotype,rbeta_hat_pgwas_BIP.phenotype_MDD.phenotype,rbeta_hat_pgwas_BIP.phenotype_SCZ.phenotype,rbeta_hat_pgwas_MDD.phenotype_SCZ.phenotype,rbeta_hat_sgwas_ADHD.phenotype_ADHD.phenotype,rbeta_hat_sgwas_ADHD.phenotype_ALC.phenotype,rbeta_hat_sgwas_ADHD.phenotype_ANX.phenotype,rbeta_hat_sgwas_ADHD.phenotype_BIP.phenotype,rbeta_hat_sgwas_ADHD.phenotype_MDD.phenotype,rbeta_hat_sgwas_ADHD.phenotype_SCZ.phenotype,rbeta_hat_sgwas_ALC.phenotype_ANX.phenotype,rbeta_hat_sgwas_ALC.phenotype_BIP.phenotype,rbeta_hat_sgwas_ALC.phenotype_MDD.phenotype,rbeta_hat_sgwas_ALC.phenotype_SCZ.phenotype,rbeta_hat_sgwas_ANX.phenotype_BIP.phenotype,rbeta_hat_sgwas_ANX.phenotype_MDD.phenotype,rbeta_hat_sgwas_ANX.phenotype_SCZ.phenotype,rbeta_hat_sgwas_BIP.phenotype_MDD.phenotype,rbeta_hat_sgwas_BIP.phenotype_SCZ.phenotype,rbeta_hat_sgwas_MDD.phenotype_SCZ.phenotype,pgwas_truepositives_ADHD_0.05,pgwas_falsepositives_ADHD_0.05,sgwas_truepositives_ADHD_0.05,sgwas_falsepositives_ADHD_0.05,pgwas_truepositives_ALC_0.05,pgwas_falsepositives_ALC_0.05,sgwas_truepositives_ALC_0.05,sgwas_falsepositives_ALC_0.05,pgwas_truepositives_ANX_0.05,pgwas_falsepositives_ANX_0.05,sgwas_truepositives_ANX_0.05,sgwas_falsepositives_ANX_0.05,pgwas_truepositives_BIP_0.05,pgwas_falsepositives_BIP_0.05,sgwas_truepositives_BIP_0.05,sgwas_falsepositives_BIP_0.05,pgwas_truepositives_MDD_0.05,pgwas_falsepositives_MDD_0.05,sgwas_truepositives_MDD_0.05,sgwas_falsepositives_MDD_0.05,pgwas_truepositives_SCZ_0.05,pgwas_falsepositives_SCZ_0.05,sgwas_truepositives_SCZ_0.05,sgwas_falsepositives_SCZ_0.05,pgwas_truepositives_ADHD_0.5,pgwas_falsepositives_ADHD_0.5,sgwas_truepositives_ADHD_0.5,sgwas_falsepositives_ADHD_0.5,pgwas_truepositives_ALC_0.5,pgwas_falsepositives_ALC_0.5,sgwas_truepositives_ALC_0.5,sgwas_falsepositives_ALC_0.5,pgwas_truepositives_ANX_0.5,pgwas_falsepositives_ANX_0.5,sgwas_truepositives_ANX_0.5,sgwas_falsepositives_ANX_0.5,pgwas_truepositives_BIP_0.5,pgwas_falsepositives_BIP_0.5,sgwas_truepositives_BIP_0.5,sgwas_falsepositives_BIP_0.5,pgwas_truepositives_MDD_0.5,pgwas_falsepositives_MDD_0.5,sgwas_truepositives_MDD_0.5,sgwas_falsepositives_MDD_0.5,pgwas_truepositives_SCZ_0.5,pgwas_falsepositives_SCZ_0.5,sgwas_truepositives_SCZ_0.5,sgwas_falsepositives_SCZ_0.5,tr1,tr2
psych2_seed1_4_0_2,1,4,6,2,,,0.12700451994300616,,,,,,,,,,,,,,,,-0.01673978225084634,,,,,,,,,,,,,,0.6865671641791045,0.08588588588588589,0.5194029850746269,0.04864864864864865,,,,,0.6066066066066066,0.07678464307138572,0.4894894894894895,0.05638872225554889,,,,,,,,,,,,,0.9104477611940298,0.5813813813813814,0.835820895522388,0.4990990990990991,,,,,0.8378378378378378,0.5278944211157769,0.7957957957957958,0.4937012597480504,,,,,,,,,,,,,ADHD,ANX
psych2_seed1_5_0_2,1,5,6,2,,,0.18213009402087796,,,,,,,,,,,,,,,,-0.0016789138259109264,,,,,,,,,,,,,,0.6597014925373135,0.1039039039039039,0.5373134328358209,0.05165165165165165,,,,,0.6066066066066066,0.08638272345530894,0.4984984984984985,0.05098980203959208,,,,,,,,,,,,,0.8985074626865671,0.5681681681681682,0.8417910447761194,0.5069069069069069,,,,,0.8588588588588588,0.5392921415716857,0.8348348348348348,0.519496100779844,,,,,,,,,,,,,ADHD,ANX
psych2_seed1_0_0_3,1,0,6,2,,,,-0.03167898776371641,,,,,,,,,,,,,,,,-0.05647098351890458,,,,,,,,,,,,,0.5880597014925373,0.04924924924924925,0.5850746268656717,0.04924924924924925,,,,,,,,,0.5915915915915916,0.04859028194361128,0.5975975975975976,0.04859028194361128,,,,,,,,,0.8716417910447761,0.5195195195195195,0.8567164179104477,0.4936936936936937,,,,,,,,,0.8438438438438438,0.5128974205158968,0.8288288288288288,0.483503299340132,,,,,,,,,ADHD,BIP
psych2_seed1_1_0_3,1,1,6,2,,,,0.07895854522144131,,,,,,,,,,,,,,,,0.032359293875628525,,,,,,,,,,,,,0.6208955223880597,0.054654654654654654,0.5074626865671642,0.04684684684684685,,,,,,,,,0.6306306306306306,0.07018596280743851,0.4744744744744745,0.04859028194361128,,,,,,,,,0.8537313432835821,0.5231231231231231,0.8328358208955224,0.4906906906906907,,,,,,,,,0.8678678678678678,0.5152969406118776,0.8138138138138138,0.4907018596280744,,,,,,,,,ADHD,BIP
psych2_seed1_2_0_3,1,2,6,2,,,,0.085728710617124,,,,,,,,,,,,,,,,-0.042298629044033566,,,,,,,,,,,,,0.6417910447761194,0.07207207207207207,0.5402985074626866,0.05225225225225225,,,,,,,,,0.5765765765765766,0.06898620275944811,0.5165165165165165,0.055188962207558485,,,,,,,,,0.8925373134328358,0.5255255255255256,0.8238805970149253,0.4990990990990991,,,,,,,,,0.8528528528528528,0.531493701259748,0.8468468468468469,0.5002999400119976,,,,,,,,,ADHD,BIP
psych2_seed1_3_0_3,1,3,6,2,,,,0.08814509704428973,,,,,,,,,,,,,,,,0.008461226322653148,,,,,,,,,,,,,0.6447761194029851,0.08528528528528528,0.5373134328358209,0.04384384384384384,,,,,,,,,0.5645645645645646,0.06418716256748651,0.4924924924924925,0.0593881223755249,,,,,,,,,0.8865671641791045,0.5495495495495496,0.7910447761194029,0.5027027027027027,,,,,,,,,0.8168168168168168,0.5170965806838632,0.8288288288288288,0.4991001799640072,,,,,,,,,ADHD,BIP
psych2_seed1_4_0_3,1,4,6,2,,,,0.07511969140066825,,,,,,,,,,,,,,,,0.022337352711322467,,,,,,,,,,,,,0.6238805970149254,0.07987987987987988,0.5462686567164179,0.05405405405405406,,,,,,,,,0.5795795795795796,0.06418716256748651,0.5195195195195195,0.0611877624475105,,,,,,,,,0.8925373134328358,0.5501501501501501,0.808955223880597,0.4918918918918919,,,,,,,,,0.8528528528528528,0.5392921415716857,0.8558558558558559,0.495500899820036,,,,,,,,,ADHD,BIP
psych2_seed1_5_0_3,1,5,6,2,,,,0.12652845115003483,,,,,,,,,,,,,,,,0.01216127603726752,,,,,,,,,,,,,0.6716417910447762,0.09549549549549549,0.5343283582089552,0.04984984984984985,,,,,,,,,0.6216216216216216,0.06898620275944811,0.4954954954954955,0.05338932213557288,,,,,,,,,0.9104477611940298,0.5483483483483483,0.8537313432835821,0.4912912912912913,,,,,,,,,0.8498498498498499,0.5260947810437913,0.8258258258258259,0.504499100179964,,,,,,,,,ADHD,BIP
psych2_seed1_0_0_4,1,0,6,2,,,,,0.023418752383334858,,,,,,,,,,,,,,,,0.04508394673800903,,,,,,,,,,,,0.5880597014925373,0.04924924924924925,0.5850746268656717,0.04924924924924925,,,,,,,,,,,,,0.4174174174174174,0.05098980203959208,0.44744744744744747,0.04919016196760648,,,,,0.8716417910447761,0.5195195195195195,0.8567164179104477,0.4936936936936937,,,,,,,,,,,,,0.7987987987987988,0.4967006598680264,0.7747747747747747,0.5008998200359928,,,,,ADHD,MDD
psych2_seed1_1_0_4,1,1,6,2,,,,,0.04724514228435864,,,,,,,,,,,,,,,,-0.019940835241122317,,,,,,,,,,,,0.6238805970149254,0.07207207207207207,0.5014925373134328,0.05225225225225225,,,,,,,,,,,,,0.4624624624624625,0.0623875224955009,0.3153153153153153,0.05638872225554889,,,,,0.8686567164179104,0.5525525525525525,0.8328358208955224,0.4906906906906907,,,,,,,,,,,,,0.7897897897897898,0.5326934613077384,0.7387387387387387,0.504499100179964,,,,,ADHD,MDD
