,1,0,2,3,4,5,gen,seed,6
2,1013.0,636.0,303.0,45.0,3.0,0.0,2.0,36.0,0.0
3,966.0,612.0,369.0,46.0,7.0,0.0,3.0,36.0,0.0
4,965.0,581.0,366.0,78.0,10.0,0.0,4.0,36.0,0.0
5,927.0,625.0,350.0,85.0,11.0,2.0,5.0,36.0,0.0
0,1010.0,716.0,238.0,35.0,1.0,0.0,0.0,37.0,0.0
1,1024.0,632.0,300.0,41.0,3.0,0.0,1.0,37.0,0.0
2,1016.0,574.0,343.0,60.0,6.0,1.0,2.0,37.0,0.0
3,964.0,565.0,399.0,62.0,10.0,0.0,3.0,37.0,0.0
4,960.0,579.0,383.0,63.0,14.0,1.0,4.0,37.0,0.0
5,929.0,560.0,384.0,106.0,19.0,2.0,5.0,37.0,0.0
0,1004.0,703.0,271.0,21.0,1.0,0.0,0.0,38.0,0.0
1,994.0,648.0,312.0,42.0,4.0,0.0,1.0,38.0,0.0
2,1044.0,541.0,357.0,48.0,10.0,0.0,2.0,38.0,0.0
3,946.0,569.0,392.0,82.0,10.0,1.0,3.0,38.0,0.0
4,955.0,560.0,375.0,89.0,16.0,5.0,4.0,38.0,0.0
5,923.0,550.0,415.0,97.0,13.0,2.0,5.0,38.0,0.0
0,1037.0,720.0,214.0,29.0,0.0,0.0,0.0,39.0,0.0
1,1018.0,631.0,307.0,39.0,5.0,0.0,1.0,39.0,0.0
2,1020.0,578.0,318.0,76.0,7.0,1.0,2.0,39.0,0.0
3,985.0,574.0,366.0,70.0,5.0,0.0,3.0,39.0,0.0
4,982.0,571.0,367.0,75.0,5.0,0.0,4.0,39.0,0.0
5,942.0,577.0,389.0,74.0,16.0,2.0,5.0,39.0,0.0
0,1027.0,684.0,258.0,29.0,2.0,0.0,0.0,40.0,0.0
1,1010.0,618.0,334.0,38.0,0.0,0.0,1.0,40.0,0.0
2,995.0,584.0,363.0,56.0,2.0,0.0,2.0,40.0,0.0
3,972.0,599.0,355.0,67.0,7.0,0.0,3.0,40.0,0.0
4,974.0,563.0,367.0,85.0,9.0,2.0,4.0,40.0,0.0
5,979.0,536.0,401.0,73.0,10.0,1.0,5.0,40.0,0.0
0,1019.0,697.0,258.0,25.0,1.0,0.0,0.0,41.0,0.0
1,1020.0,647.0,293.0,37.0,3.0,0.0,1.0,41.0,0.0
2,993.0,585.0,370.0,49.0,3.0,0.0,2.0,41.0,0.0
3,976.0,545.0,399.0,76.0,4.0,0.0,3.0,41.0,0.0
4,931.0,567.0,389.0,96.0,15.0,2.0,4.0,41.0,0.0
5,907.0,551.0,433.0,95.0,11.0,3.0,5.0,41.0,0.0
0,996.0,717.0,261.0,25.0,1.0,0.0,0.0,42.0,0.0
1,994.0,660.0,300.0,45.0,1.0,0.0,1.0,42.0,0.0
2,1013.0,628.0,310.0,44.0,5.0,0.0,2.0,42.0,0.0
3,937.0,631.0,358.0,69.0,5.0,0.0,3.0,42.0,0.0
4,992.0,600.0,333.0,64.0,10.0,1.0,4.0,42.0,0.0
5,1021.0,560.0,337.0,76.0,6.0,0.0,5.0,42.0,0.0
0,1022.0,719.0,229.0,29.0,1.0,0.0,0.0,43.0,0.0
1,1020.0,639.0,280.0,55.0,6.0,0.0,1.0,43.0,0.0
2,1014.0,617.0,317.0,48.0,3.0,1.0,2.0,43.0,0.0
3,990.0,582.0,360.0,58.0,10.0,0.0,3.0,43.0,0.0
4,922.0,611.0,381.0,76.0,8.0,2.0,4.0,43.0,0.0
5,910.0,611.0,389.0,83.0,7.0,0.0,5.0,43.0,0.0
0,1064.0,672.0,238.0,24.0,2.0,0.0,0.0,44.0,0.0
1,1026.0,637.0,297.0,34.0,6.0,0.0,1.0,44.0,0.0
2,1030.0,582.0,323.0,57.0,7.0,1.0,2.0,44.0,0.0
3,993.0,585.0,341.0,77.0,4.0,0.0,3.0,44.0,0.0
4,959.0,583.0,376.0,73.0,9.0,0.0,4.0,44.0,0.0
5,963.0,526.0,424.0,75.0,11.0,1.0,5.0,44.0,0.0
0,1038.0,689.0,245.0,27.0,1.0,0.0,0.0,45.0,0.0
1,1079.0,598.0,286.0,32.0,5.0,0.0,1.0,45.0,0.0
2,1037.0,581.0,330.0,51.0,1.0,0.0,2.0,45.0,0.0
3,981.0,617.0,331.0,66.0,5.0,0.0,3.0,45.0,0.0
4,976.0,581.0,359.0,76.0,7.0,1.0,4.0,45.0,0.0
5,974.0,587.0,355.0,77.0,4.0,3.0,5.0,45.0,0.0
0,1056.0,679.0,242.0,21.0,2.0,0.0,0.0,46.0,0.0
1,1045.0,611.0,303.0,39.0,2.0,0.0,1.0,46.0,0.0
2,1020.0,552.0,360.0,63.0,5.0,0.0,2.0,46.0,0.0
3,972.0,576.0,361.0,79.0,11.0,1.0,3.0,46.0,0.0
4,930.0,532.0,436.0,90.0,11.0,1.0,4.0,46.0,0.0
