"gen","scenario","seed","type","h2"
3,"5xAM + VT (5%)",19,"True",0.217361735714011
4,"5xAM + VT (5%)",19,"True",0.219211470807452
5,"5xAM + VT (5%)",19,"True",0.220265061855666
0,"RM",2,"True",0.244225054972306
1,"RM",2,"True",0.245835686857709
2,"RM",2,"True",0.245092337661916
3,"RM",2,"True",0.245085949875809
4,"RM",2,"True",0.246606658113107
5,"RM",2,"True",0.239910993519059
0,"RM + VT (5%)",2,"True",0.244813700245403
1,"RM + VT (5%)",2,"True",0.234857946541079
2,"RM + VT (5%)",2,"True",0.229673410426388
3,"RM + VT (5%)",2,"True",0.228800778844597
4,"RM + VT (5%)",2,"True",0.230219620887941
5,"RM + VT (5%)",2,"True",0.225320253251495
0,"5xAM",2,"True",0.245141369377182
1,"5xAM",2,"True",0.249955368959437
2,"5xAM",2,"True",0.252349080567733
3,"5xAM",2,"True",0.25343422951202
4,"5xAM",2,"True",0.254890860290662
5,"5xAM",2,"True",0.253822999605602
0,"5xAM + VT (5%)",2,"True",0.24488102349919
1,"5xAM + VT (5%)",2,"True",0.221436915705787
2,"5xAM + VT (5%)",2,"True",0.214128646159766
3,"5xAM + VT (5%)",2,"True",0.212909435651349
4,"5xAM + VT (5%)",2,"True",0.211425655674854
5,"5xAM + VT (5%)",2,"True",0.208350437790626
0,"RM",20,"True",0.251135957417152
1,"RM",20,"True",0.251296214547394
2,"RM",20,"True",0.251818940986752
3,"RM",20,"True",0.252145865580285
4,"RM",20,"True",0.250100557577322
5,"RM",20,"True",0.249309365707574
0,"RM + VT (5%)",20,"True",0.250634991835042
1,"RM + VT (5%)",20,"True",0.24063559762797
2,"RM + VT (5%)",20,"True",0.236034951212956
3,"RM + VT (5%)",20,"True",0.234930526340837
4,"RM + VT (5%)",20,"True",0.234203892713141
5,"RM + VT (5%)",20,"True",0.231647836005238
0,"5xAM",20,"True",0.251092846614219
1,"5xAM",20,"True",0.256124467549659
2,"5xAM",20,"True",0.259140916651039
3,"5xAM",20,"True",0.261317795494393
4,"5xAM",20,"True",0.260622004814954
5,"5xAM",20,"True",0.263631543255328
0,"5xAM + VT (5%)",20,"True",0.25120129567209
1,"5xAM + VT (5%)",20,"True",0.226025079798955
2,"5xAM + VT (5%)",20,"True",0.219884773273116
3,"5xAM + VT (5%)",20,"True",0.216657413753064
4,"5xAM + VT (5%)",20,"True",0.215225830233377
5,"5xAM + VT (5%)",20,"True",0.217718614604873
0,"RM",21,"True",0.247133328182767
1,"RM",21,"True",0.248164527994262
2,"RM",21,"True",0.249142533886341
3,"RM",21,"True",0.246851951487916
4,"RM",21,"True",0.246920859468579
5,"RM",21,"True",0.248954580457964
0,"RM + VT (5%)",21,"True",0.24847023003472
1,"RM + VT (5%)",21,"True",0.236338466672207
2,"RM + VT (5%)",21,"True",0.233039289987959
3,"RM + VT (5%)",21,"True",0.232033987294315
4,"RM + VT (5%)",21,"True",0.231256663007787
5,"RM + VT (5%)",21,"True",0.231037657542521
0,"5xAM",21,"True",0.247807916292427
1,"5xAM",21,"True",0.253072596383316
2,"5xAM",21,"True",0.257471106542728
3,"5xAM",21,"True",0.256888114793054
4,"5xAM",21,"True",0.260573154521206
5,"5xAM",21,"True",0.257852861956792
0,"5xAM + VT (5%)",21,"True",0.247624441981756
1,"5xAM + VT (5%)",21,"True",0.223118693386338
2,"5xAM + VT (5%)",21,"True",0.21717681680565
3,"5xAM + VT (5%)",21,"True",0.215174507355364
4,"5xAM + VT (5%)",21,"True",0.213325977534882
