"gen","scenario","power","GWAS","mean","se","se_1.96","median"
0,"5xAM","50%","Sibship",0.999553113553113,0.00258084054552563,0.00505844746923023,1.00091575091575
1,"5xAM","50%","Sibship",0.997728937728938,0.00279513706937537,0.00547846865597573,0.996336996336996
2,"5xAM","50%","Sibship",1.0087326007326,0.00281343933825,0.00551434110297,1.00915750915751
3,"5xAM","50%","Sibship",1.00442490842491,0.00260213944847312,0.00510019331900731,1.00549450549451
4,"5xAM","50%","Sibship",1.00448351648352,0.00258219429115137,0.00506110081065668,1.00732600732601
5,"5xAM","50%","Sibship",1.00652747252747,0.00257960169309991,0.00505601931847583,1.00549450549451
0,"5xAM + GxE","50%","Sibship",0.999501831501831,0.00251062257282915,0.00492082024274513,0.998168498168498
1,"5xAM + GxE","50%","Sibship",1.00532600732601,0.00278499056207938,0.00545858150167558,1
2,"5xAM + GxE","50%","Sibship",1.00341391941392,0.00241799446480801,0.0047392691510237,1.003663003663
3,"5xAM + GxE","50%","Sibship",1.00117948717949,0.00260276662779447,0.00510142259047716,1
4,"5xAM + GxE","50%","Sibship",1.00451282051282,0.00272173026716292,0.00533459132363932,1.0018315018315
5,"5xAM + GxE","50%","Sibship",1.00394139194139,0.00281450864101452,0.00551643693638846,1.00549450549451
0,"5xAM + VT","50%","Sibship",0.9963663003663,0.00270241530346191,0.00529673399478535,0.995421245421245
1,"5xAM + VT","50%","Sibship",1.00472527472527,0.00266911954408499,0.00523147430640658,1.00549450549451
2,"5xAM + VT","50%","Sibship",1.00391941391941,0.00249370189515324,0.00488765571450034,1.00274725274725
3,"5xAM + VT","50%","Sibship",0.99825641025641,0.00251893566248029,0.00493711389846136,1
4,"5xAM + VT","50%","Sibship",1.00034432234432,0.0026906273180169,0.00527362954331312,1
5,"5xAM + VT","50%","Sibship",0.999941391941392,0.00266908768620117,0.00523141186495429,0.996336996336996
0,"5xAM + VT + GxE","50%","Sibship",1.00147985347985,0.0026044789335561,0.00510477870976995,0.996336996336996
1,"5xAM + VT + GxE","50%","Sibship",1.00424908424908,0.00260542651564576,0.00510663597066569,1.0018315018315
2,"5xAM + VT + GxE","50%","Sibship",1.00808791208791,0.00267766420028014,0.00524822183254908,1.01190476190476
3,"5xAM + VT + GxE","50%","Sibship",1.0052380952381,0.0027657613868061,0.00542089231813995,1.003663003663
4,"5xAM + VT + GxE","50%","Sibship",1.00354578754579,0.00259108090257489,0.00507851856904679,1.00549450549451
