"seed","gen","scenario","rmate","args_kphen","args_rmate","args_theta","args_phi","he_rg","rg_true","he_h2","h2_true"
101,4,"5xAM",0.2,5,0.2,0,0,0.255561403572353,0.117150964674873,0.608571314811707,0.5216810291463
101,5,"5xAM",0.2,5,0.2,0,0,0.290068570295094,0.126908945035016,0.652859091758728,0.517267180433811
101,0,"5xAM + GxE",0.2,5,0.2,0,0.05,-0.00146476490218811,-0.000323432453980167,0.511821264028549,0.511541836137066
101,1,"5xAM + GxE",0.2,5,0.2,0,0.05,0.101363921807078,0.0482799053708996,0.553907978534699,0.52543659024774
101,2,"5xAM + GxE",0.2,5,0.2,0,0.05,0.184823822273929,0.0828673788654,0.596253323554993,0.53410847435926
101,3,"5xAM + GxE",0.2,5,0.2,0,0.05,0.240056960264067,0.106785559838875,0.628618371486664,0.537165937584971
101,4,"5xAM + GxE",0.2,5,0.2,0,0.05,0.274345324083059,0.123430690359942,0.662683010101318,0.543434147325757
101,5,"5xAM + GxE",0.2,5,0.2,0,0.05,0.301707852425891,0.133300967415522,0.677210307121277,0.548357422194758
101,0,"5xAM + GxE",0.2,5,0.2,0,0.05,1.93868573378391e-05,-0.000738051184399052,0.495654875040054,0.497549651595209
101,1,"5xAM + GxE",0.2,5,0.2,0,0.05,0.100906691971066,0.0473367275015051,0.537763941287994,0.508873713539947
101,2,"5xAM + GxE",0.2,5,0.2,0,0.05,0.1784892261554,0.0814108264637999,0.576032912731171,0.517342485770277
101,3,"5xAM + GxE",0.2,5,0.2,0,0.05,0.22475813437097,0.102619390241937,0.606621098518372,0.523486997024983
101,4,"5xAM + GxE",0.2,5,0.2,0,0.05,0.254988905855251,0.117839870822518,0.63232250213623,0.528732861100199
101,5,"5xAM + GxE",0.2,5,0.2,0,0.05,0.287327803351197,0.125436806282413,0.65660183429718,0.535882768775123
101,0,"5xAM + GxE",0.2,5,0.2,0,0.05,-0.000311785641737187,-0.00119054079310731,0.492229217290878,0.491588658842784
101,1,"5xAM + GxE",0.2,5,0.2,0,0.05,0.0988346848153846,0.046661564363458,0.531209778785706,0.503344525379861
101,2,"5xAM + GxE",0.2,5,0.2,0,0.05,0.16881774267755,0.0781826309919421,0.568238866329193,0.510799412229912
101,3,"5xAM + GxE",0.2,5,0.2,0,0.05,0.227287862461008,0.101709496683393,0.599072313308716,0.519078730147739
101,4,"5xAM + GxE",0.2,5,0.2,0,0.05,0.262356449295579,0.1167821734176,0.623091876506805,0.52625876500113
101,5,"5xAM + GxE",0.2,5,0.2,0,0.05,0.301054879592747,0.133062486214876,0.635578501224518,0.518741269162951
101,0,"5xAM + VT",0.2,5,0.2,0.05,0,-0.000562224034285885,-0.000278561112019229,0.511275845766068,0.51147806694866
101,1,"5xAM + VT",0.2,5,0.2,0.05,0,0.317698199196391,0.0341424227698715,0.618568658828735,0.437417078554515
101,2,"5xAM + VT",0.2,5,0.2,0.05,0,0.460131345114741,0.0560329276478689,0.69736852645874,0.398103906417268
101,3,"5xAM + VT",0.2,5,0.2,0.05,0,0.516174780494383,0.0672199184096531,0.737299203872681,0.37881141355738
101,4,"5xAM + VT",0.2,5,0.2,0.05,0,0.55261310834623,0.0730525145825637,0.769823861122131,0.370468647624347
101,5,"5xAM + VT",0.2,5,0.2,0.05,0,0.570638993409647,0.0747727068637765,0.778832256793976,0.364080568501081
101,0,"5xAM + VT",0.2,5,0.2,0.05,0,-0.00278879855939227,-0.00107953682117194,0.494299870729446,0.493863152466294
101,1,"5xAM + VT",0.2,5,0.2,0.05,0,0.314801638998014,0.0324440456670121,0.597862362861633,0.424583391365243
101,2,"5xAM + VT",0.2,5,0.2,0.05,0,0.457696131607933,0.0533063388334947,0.67307722568512,0.388062176544259
101,3,"5xAM + VT",0.2,5,0.2,0.05,0,0.523603989543708,0.0679695881278619,0.726032423973084,0.369830504880081
101,4,"5xAM + VT",0.2,5,0.2,0.05,0,0.549310314639937,0.0716288852526957,0.747640669345856,0.362234887028967
101,5,"5xAM + VT",0.2,5,0.2,0.05,0,0.556841747325402,0.0689768245334175,0.757339417934418,0.357128598398122
101,0,"5xAM + VT",0.2,5,0.2,0.05,0,-0.000872611065152408,-0.000326462789359235,0.488753747940063,0.488614578066925
101,1,"5xAM + VT",0.2,5,0.2,0.05,0,0.307068410242761,0.0307550529637615,0.592043232917786,0.42106200152998
101,2,"5xAM + VT",0.2,5,0.2,0.05,0,0.453637043826421,0.0533801735115285,0.66894303560257,0.38459834041915
