"seed","gen","xAM","dx","value"
43,0,"6-variate","ADHD",0.08975
44,0,"6-variate","ADHD",0.08575
45,0,"6-variate","ADHD",0.08325
46,0,"6-variate","ADHD",0.08725
47,0,"6-variate","ADHD",0.095375
48,0,"6-variate","ADHD",0.0865
49,0,"6-variate","ADHD",0.09475
1,1,"6-variate","ADHD",0.102875
2,1,"6-variate","ADHD",0.08775
3,1,"6-variate","ADHD",0.10475
4,1,"6-variate","ADHD",0.092875
5,1,"6-variate","ADHD",0.091375
6,1,"6-variate","ADHD",0.093125
7,1,"6-variate","ADHD",0.10075
8,1,"6-variate","ADHD",0.109125
9,1,"6-variate","ADHD",0.107875
10,1,"6-variate","ADHD",0.101125
11,1,"6-variate","ADHD",0.091
12,1,"6-variate","ADHD",0.10375
13,1,"6-variate","ADHD",0.095125
14,1,"6-variate","ADHD",0.10125
15,1,"6-variate","ADHD",0.1015
16,1,"6-variate","ADHD",0.100375
17,1,"6-variate","ADHD",0.09325
18,1,"6-variate","ADHD",0.102125
19,1,"6-variate","ADHD",0.103375
20,1,"6-variate","ADHD",0.092875
21,1,"6-variate","ADHD",0.089625
22,1,"6-variate","ADHD",0.102875
23,1,"6-variate","ADHD",0.108375
24,1,"6-variate","ADHD",0.098125
25,1,"6-variate","ADHD",0.082375
26,1,"6-variate","ADHD",0.11325
27,1,"6-variate","ADHD",0.107375
28,1,"6-variate","ADHD",0.09825
29,1,"6-variate","ADHD",0.0885
30,1,"6-variate","ADHD",0.10575
31,1,"6-variate","ADHD",0.099
32,1,"6-variate","ADHD",0.087125
33,1,"6-variate","ADHD",0.106625
34,1,"6-variate","ADHD",0.10475
35,1,"6-variate","ADHD",0.1015
36,1,"6-variate","ADHD",0.089
37,1,"6-variate","ADHD",0.102375
38,1,"6-variate","ADHD",0.111125
39,1,"6-variate","ADHD",0.10025
40,1,"6-variate","ADHD",0.096875
41,1,"6-variate","ADHD",0.1
42,1,"6-variate","ADHD",0.08975
43,1,"6-variate","ADHD",0.102875
44,1,"6-variate","ADHD",0.101625
45,1,"6-variate","ADHD",0.090375
46,1,"6-variate","ADHD",0.100375
47,1,"6-variate","ADHD",0.119875
48,1,"6-variate","ADHD",0.10325
49,1,"6-variate","ADHD",0.121875
1,2,"6-variate","ADHD",0.108625
2,2,"6-variate","ADHD",0.09675
3,2,"6-variate","ADHD",0.105125
4,2,"6-variate","ADHD",0.1005
5,2,"6-variate","ADHD",0.09425
6,2,"6-variate","ADHD",0.094875
7,2,"6-variate","ADHD",0.11125
8,2,"6-variate","ADHD",0.116875
9,2,"6-variate","ADHD",0.118875
10,2,"6-variate","ADHD",0.106125
11,2,"6-variate","ADHD",0.113375
12,2,"6-variate","ADHD",0.108
13,2,"6-variate","ADHD",0.103625
14,2,"6-variate","ADHD",0.113125
15,2,"6-variate","ADHD",0.102
16,2,"6-variate","ADHD",0.112875
17,2,"6-variate","ADHD",0.1005
18,2,"6-variate","ADHD",0.114375
19,2,"6-variate","ADHD",0.09825
20,2,"6-variate","ADHD",0.094375
21,2,"6-variate","ADHD",0.09225
22,2,"6-variate","ADHD",0.105125
23,2,"6-variate","ADHD",0.11525
24,2,"6-variate","ADHD",0.108125
25,2,"6-variate","ADHD",0.0945
26,2,"6-variate","ADHD",0.125875
27,2,"6-variate","ADHD",0.114875
28,2,"6-variate","ADHD",0.101125
29,2,"6-variate","ADHD",0.095625
30,2,"6-variate","ADHD",0.109125
31,2,"6-variate","ADHD",0.10975
32,2,"6-variate","ADHD",0.096
33,2,"6-variate","ADHD",0.1125
34,2,"6-variate","ADHD",0.110375
35,2,"6-variate","ADHD",0.110875
36,2,"6-variate","ADHD",0.091625
37,2,"6-variate","ADHD",0.10875
38,2,"6-variate","ADHD",0.115125
39,2,"6-variate","ADHD",0.100125
40,2,"6-variate","ADHD",0.10075
41,2,"6-variate","ADHD",0.11025
42,2,"6-variate","ADHD",0.093625
43,2,"6-variate","ADHD",0.10775
44,2,"6-variate","ADHD",0.113625
45,2,"6-variate","ADHD",0.0865
46,2,"6-variate","ADHD",0.105375
47,2,"6-variate","ADHD",0.121375
48,2,"6-variate","ADHD",0.11025
49,2,"6-variate","ADHD",0.136375
1,3,"6-variate","ADHD",0.1155
2,3,"6-variate","ADHD",0.105125
3,3,"6-variate","ADHD",0.115125
4,3,"6-variate","ADHD",0.103875
5,3,"6-variate","ADHD",0.09825
6,3,"6-variate","ADHD",0.094375
7,3,"6-variate","ADHD",0.118625
8,3,"6-variate","ADHD",0.1185
9,3,"6-variate","ADHD",0.122625
10,3,"6-variate","ADHD",0.10925
11,3,"6-variate","ADHD",0.110625
12,3,"6-variate","ADHD",0.115375
13,3,"6-variate","ADHD",0.113125
14,3,"6-variate","ADHD",0.119875
15,3,"6-variate","ADHD",0.10525
16,3,"6-variate","ADHD",0.113625
17,3,"6-variate","ADHD",0.098
18,3,"6-variate","ADHD",0.118
19,3,"6-variate","ADHD",0.1035
20,3,"6-variate","ADHD",0.099
21,3,"6-variate","ADHD",0.09
22,3,"6-variate","ADHD",0.111
23,3,"6-variate","ADHD",0.119375
24,3,"6-variate","ADHD",0.118
25,3,"6-variate","ADHD",0.091875
26,3,"6-variate","ADHD",0.12925
27,3,"6-variate","ADHD",0.124
28,3,"6-variate","ADHD",0.107125
29,3,"6-variate","ADHD",0.099625
30,3,"6-variate","ADHD",0.1145
31,3,"6-variate","ADHD",0.116375
32,3,"6-variate","ADHD",0.108375
33,3,"6-variate","ADHD",0.119375
34,3,"6-variate","ADHD",0.110625
35,3,"6-variate","ADHD",0.1165
36,3,"6-variate","ADHD",0.094875
37,3,"6-variate","ADHD",0.111875
38,3,"6-variate","ADHD",0.1315
39,3,"6-variate","ADHD",0.110125
40,3,"6-variate","ADHD",0.103625
41,3,"6-variate","ADHD",0.119625
42,3,"6-variate","ADHD",0.088875
43,3,"6-variate","ADHD",0.116625
44,3,"6-variate","ADHD",0.121
45,3,"6-variate","ADHD",0.097375
46,3,"6-variate","ADHD",0.10525
47,3,"6-variate","ADHD",0.130125
48,3,"6-variate","ADHD",0.111125
49,3,"6-variate","ADHD",0.147125
1,4,"6-variate","ADHD",0.117125
2,4,"6-variate","ADHD",0.106125
3,4,"6-variate","ADHD",0.12225
4,4,"6-variate","ADHD",0.1045
5,4,"6-variate","ADHD",0.101875
6,4,"6-variate","ADHD",0.10075
7,4,"6-variate","ADHD",0.12725
8,4,"6-variate","ADHD",0.118125
9,4,"6-variate","ADHD",0.129875
10,4,"6-variate","ADHD",0.114
11,4,"6-variate","ADHD",0.110875
12,4,"6-variate","ADHD",0.123375
13,4,"6-variate","ADHD",0.11075
14,4,"6-variate","ADHD",0.124
15,4,"6-variate","ADHD",0.10975
16,4,"6-variate","ADHD",0.1215
17,4,"6-variate","ADHD",0.101625
18,4,"6-variate","ADHD",0.12775
19,4,"6-variate","ADHD",0.10325
20,4,"6-variate","ADHD",0.093375
21,4,"6-variate","ADHD",0.0975
22,4,"6-variate","ADHD",0.11675
23,4,"6-variate","ADHD",0.131
24,4,"6-variate","ADHD",0.119125
25,4,"6-variate","ADHD",0.091625
26,4,"6-variate","ADHD",0.12575
27,4,"6-variate","ADHD",0.130125
28,4,"6-variate","ADHD",0.1185
29,4,"6-variate","ADHD",0.103125
30,4,"6-variate","ADHD",0.120875
31,4,"6-variate","ADHD",0.12
32,4,"6-variate","ADHD",0.104
33,4,"6-variate","ADHD",0.12325
34,4,"6-variate","ADHD",0.117125
35,4,"6-variate","ADHD",0.119
36,4,"6-variate","ADHD",0.09775
37,4,"6-variate","ADHD",0.11875
38,4,"6-variate","ADHD",0.133
39,4,"6-variate","ADHD",0.113625
40,4,"6-variate","ADHD",0.108
41,4,"6-variate","ADHD",0.11325
42,4,"6-variate","ADHD",0.093875
43,4,"6-variate","ADHD",0.121125
44,4,"6-variate","ADHD",0.128125
45,4,"6-variate","ADHD",0.095
46,4,"6-variate","ADHD",0.106625
47,4,"6-variate","ADHD",0.1365
48,4,"6-variate","ADHD",0.1205
49,4,"6-variate","ADHD",0.145375
1,5,"6-variate","ADHD",0.115125
2,5,"6-variate","ADHD",0.110125
3,5,"6-variate","ADHD",0.12025
4,5,"6-variate","ADHD",0.104375
5,5,"6-variate","ADHD",0.105375
6,5,"6-variate","ADHD",0.10025
7,5,"6-variate","ADHD",0.12525
8,5,"6-variate","ADHD",0.1215
9,5,"6-variate","ADHD",0.13225
10,5,"6-variate","ADHD",0.115
11,5,"6-variate","ADHD",0.11475
12,5,"6-variate","ADHD",0.1165
13,5,"6-variate","ADHD",0.114875
14,5,"6-variate","ADHD",0.1235
15,5,"6-variate","ADHD",0.116125
16,5,"6-variate","ADHD",0.11175
17,5,"6-variate","ADHD",0.1055
18,5,"6-variate","ADHD",0.122875
19,5,"6-variate","ADHD",0.10525
20,5,"6-variate","ADHD",0.095875
21,5,"6-variate","ADHD",0.09825
22,5,"6-variate","ADHD",0.1205
23,5,"6-variate","ADHD",0.12925
24,5,"6-variate","ADHD",0.119875
25,5,"6-variate","ADHD",0.09975
26,5,"6-variate","ADHD",0.1315
27,5,"6-variate","ADHD",0.12775
28,5,"6-variate","ADHD",0.117
29,5,"6-variate","ADHD",0.09775
30,5,"6-variate","ADHD",0.11225
31,5,"6-variate","ADHD",0.121125
32,5,"6-variate","ADHD",0.108
33,5,"6-variate","ADHD",0.124125
34,5,"6-variate","ADHD",0.1175
35,5,"6-variate","ADHD",0.113625
36,5,"6-variate","ADHD",0.104125
37,5,"6-variate","ADHD",0.1225
38,5,"6-variate","ADHD",0.133625
39,5,"6-variate","ADHD",0.117625
40,5,"6-variate","ADHD",0.111625
41,5,"6-variate","ADHD",0.118375
42,5,"6-variate","ADHD",0.0965
43,5,"6-variate","ADHD",0.12
44,5,"6-variate","ADHD",0.125375
45,5,"6-variate","ADHD",0.09975
46,5,"6-variate","ADHD",0.109125
47,5,"6-variate","ADHD",0.143625
48,5,"6-variate","ADHD",0.12975
49,5,"6-variate","ADHD",0.14875
1,0,"2-variate","ALC",0.2905
2,0,"2-variate","ALC",0.293875
3,0,"2-variate","ALC",0.29925
4,0,"2-variate","ALC",0.28
5,0,"2-variate","ALC",0.30125
6,0,"2-variate","ALC",0.283125
7,0,"2-variate","ALC",0.297375
8,0,"2-variate","ALC",0.294875
9,0,"2-variate","ALC",0.2905
10,0,"2-variate","ALC",0.293625
11,0,"2-variate","ALC",0.27525
12,0,"2-variate","ALC",0.286625
13,0,"2-variate","ALC",0.301
