"gen","xAM","outcome","pheno_1","pheno_2","value","se","Outcome","Generation"
3,"2-variate","rgtrue","ALC","SCZ",0.0714614775341626,0.0108870840816238,"italic(r)[score]","3~gen.~xAM"
5,"2-variate","rgtrue","ALC","SCZ",0.088210142862577,0.0154416726079666,"italic(r)[score]","5~gen.~xAM"
0,"2-variate","rgHE","ANX","SCZ",0.00565878752218241,0.0284173227500531,"hat(italic(r))[HE]","0~gen.~xAM"
1,"2-variate","rgHE","ANX","SCZ",0.0960211249327708,0.0243727374353014,"hat(italic(r))[HE]","1~gen.~xAM"
3,"2-variate","rgHE","ANX","SCZ",0.180241020709775,0.0291010992828741,"hat(italic(r))[HE]","3~gen.~xAM"
5,"2-variate","rgHE","ANX","SCZ",0.211807327630369,0.0307435419662224,"hat(italic(r))[HE]","5~gen.~xAM"
0,"2-variate","rgtrue","ANX","SCZ",0.00197057898515043,0.0094422378742451,"italic(r)[score]","0~gen.~xAM"
1,"2-variate","rgtrue","ANX","SCZ",0.0470874149969626,0.0103645764990269,"italic(r)[score]","1~gen.~xAM"
3,"2-variate","rgtrue","ANX","SCZ",0.0865448993711723,0.0118083996921963,"italic(r)[score]","3~gen.~xAM"
5,"2-variate","rgtrue","ANX","SCZ",0.105300447860025,0.014563814169217,"italic(r)[score]","5~gen.~xAM"
0,"2-variate","rgHE","BIP","SCZ",-0.00191738191066046,0.0244683568160448,"hat(italic(r))[HE]","0~gen.~xAM"
1,"2-variate","rgHE","BIP","SCZ",0.0748162087177698,0.0290897571998929,"hat(italic(r))[HE]","1~gen.~xAM"
3,"2-variate","rgHE","BIP","SCZ",0.152191518797443,0.0308944739890226,"hat(italic(r))[HE]","3~gen.~xAM"
5,"2-variate","rgHE","BIP","SCZ",0.169433477134158,0.0349689189418194,"hat(italic(r))[HE]","5~gen.~xAM"
0,"2-variate","rgtrue","BIP","SCZ",-0.000831674362621313,0.0104642731915144,"italic(r)[score]","0~gen.~xAM"
1,"2-variate","rgtrue","BIP","SCZ",0.0376628702036863,0.0118143968667015,"italic(r)[score]","1~gen.~xAM"
3,"2-variate","rgtrue","BIP","SCZ",0.0701660225954661,0.0145038360873761,"italic(r)[score]","3~gen.~xAM"
5,"2-variate","rgtrue","BIP","SCZ",0.0813599056881607,0.0164570954983044,"italic(r)[score]","5~gen.~xAM"
0,"2-variate","rgHE","MDD","SCZ",0.000870423012787874,0.0279472632630052,"hat(italic(r))[HE]","0~gen.~xAM"
1,"2-variate","rgHE","MDD","SCZ",0.0666642487898885,0.032982590266333,"hat(italic(r))[HE]","1~gen.~xAM"
3,"2-variate","rgHE","MDD","SCZ",0.113473819546913,0.0398465004102541,"hat(italic(r))[HE]","3~gen.~xAM"
5,"2-variate","rgHE","MDD","SCZ",0.137136695526702,0.0362027829554224,"hat(italic(r))[HE]","5~gen.~xAM"
0,"2-variate","rgtrue","MDD","SCZ",0.00174009250954165,0.0107098241196598,"italic(r)[score]","0~gen.~xAM"
1,"2-variate","rgtrue","MDD","SCZ",0.0296454238534432,0.0124172157838005,"italic(r)[score]","1~gen.~xAM"
3,"2-variate","rgtrue","MDD","SCZ",0.0547036939107481,0.0151567859724027,"italic(r)[score]","3~gen.~xAM"
5,"2-variate","rgtrue","MDD","SCZ",0.0647766443077831,0.015246294284418,"italic(r)[score]","5~gen.~xAM"
0,"6-variate","rgHE","ALC","ADHD",-0.000448551215431544,0.0292677527690852,"hat(italic(r))[HE]","0~gen.~xAM"
1,"6-variate","rgHE","ALC","ADHD",0.0682940591944831,0.0315836062362653,"hat(italic(r))[HE]","1~gen.~xAM"
3,"6-variate","rgHE","ALC","ADHD",0.17918972151746,0.0372991912579705,"hat(italic(r))[HE]","3~gen.~xAM"
5,"6-variate","rgHE","ALC","ADHD",0.225043830850135,0.0427530458046297,"hat(italic(r))[HE]","5~gen.~xAM"
0,"6-variate","rgtrue","ALC","ADHD",-0.00114045236003145,0.0105860867480705,"italic(r)[score]","0~gen.~xAM"
1,"6-variate","rgtrue","ALC","ADHD",0.0358738368358871,0.0128015879265952,"italic(r)[score]","1~gen.~xAM"
3,"6-variate","rgtrue","ALC","ADHD",0.0854576116297168,0.0176894472164863,"italic(r)[score]","3~gen.~xAM"
5,"6-variate","rgtrue","ALC","ADHD",0.100516309894726,0.0187298136068667,"italic(r)[score]","5~gen.~xAM"
0,"6-variate","rgHE","ANX","ADHD",0.00558121339939758,0.0266434685456129,"hat(italic(r))[HE]","0~gen.~xAM"
1,"6-variate","rgHE","ANX","ADHD",0.0802455562057909,0.0289833839562921,"hat(italic(r))[HE]","1~gen.~xAM"
3,"6-variate","rgHE","ANX","ADHD",0.183524491047446,0.0330508928804349,"hat(italic(r))[HE]","3~gen.~xAM"
5,"6-variate","rgHE","ANX","ADHD",0.223559680452231,0.0387276180064104,"hat(italic(r))[HE]","5~gen.~xAM"
0,"6-variate","rgtrue","ANX","ADHD",0.00129628677736595,0.0115701615160936,"italic(r)[score]","0~gen.~xAM"
1,"6-variate","rgtrue","ANX","ADHD",0.0384632961758019,0.0134989520274396,"italic(r)[score]","1~gen.~xAM"
3,"6-variate","rgtrue","ANX","ADHD",0.0814179478752284,0.0143996653721013,"italic(r)[score]","3~gen.~xAM"
5,"6-variate","rgtrue","ANX","ADHD",0.104157913077189,0.019166160730304,"italic(r)[score]","5~gen.~xAM"
0,"6-variate","rgHE","ANX","ALC",-0.00268102140429899,0.0319663854005563,"hat(italic(r))[HE]","0~gen.~xAM"
1,"6-variate","rgHE","ANX","ALC",0.0431181322880835,0.0395084269194021,"hat(italic(r))[HE]","1~gen.~xAM"
3,"6-variate","rgHE","ANX","ALC",0.108420918560669,0.0318938047087378,"hat(italic(r))[HE]","3~gen.~xAM"
5,"6-variate","rgHE","ANX","ALC",0.144972241275554,0.0384471490316099,"hat(italic(r))[HE]","5~gen.~xAM"
0,"6-variate","rgtrue","ANX","ALC",-0.000681053372587002,0.0131859934116237,"italic(r)[score]","0~gen.~xAM"
1,"6-variate","rgtrue","ANX","ALC",0.0144918358401047,0.0153460472906317,"italic(r)[score]","1~gen.~xAM"
3,"6-variate","rgtrue","ANX","ALC",0.0452692406339751,0.0137168034522132,"italic(r)[score]","3~gen.~xAM"
5,"6-variate","rgtrue","ANX","ALC",0.0614924647650374,0.015352761081567,"italic(r)[score]","5~gen.~xAM"
0,"6-variate","rgHE","BIP","ADHD",-0.000788670531639097,0.0262953035258079,"hat(italic(r))[HE]","0~gen.~xAM"
1,"6-variate","rgHE","BIP","ADHD",0.0856665397698959,0.0323007018530388,"hat(italic(r))[HE]","1~gen.~xAM"
3,"6-variate","rgHE","BIP","ADHD",0.169725589114938,0.0467696560486637,"hat(italic(r))[HE]","3~gen.~xAM"
5,"6-variate","rgHE","BIP","ADHD",0.214040936845618,0.0520310089597076,"hat(italic(r))[HE]","5~gen.~xAM"
0,"6-variate","rgtrue","BIP","ADHD",0.000737615991636238,0.0109904928855256,"italic(r)[score]","0~gen.~xAM"
1,"6-variate","rgtrue","BIP","ADHD",0.0391893776112928,0.014397357289516,"italic(r)[score]","1~gen.~xAM"
3,"6-variate","rgtrue","BIP","ADHD",0.0729412870400057,0.0210351953333721,"italic(r)[score]","3~gen.~xAM"
5,"6-variate","rgtrue","BIP","ADHD",0.0886392150373275,0.0226390062861845,"italic(r)[score]","5~gen.~xAM"
0,"6-variate","rgHE","BIP","ALC",0.0122568325534427,0.0317400445209149,"hat(italic(r))[HE]","0~gen.~xAM"
1,"6-variate","rgHE","BIP","ALC",0.0644588857996537,0.0327015588256408,"hat(italic(r))[HE]","1~gen.~xAM"
3,"6-variate","rgHE","BIP","ALC",0.135856199891289,0.034219662979718,"hat(italic(r))[HE]","3~gen.~xAM"
5,"6-variate","rgHE","BIP","ALC",0.1786469822496,0.0396306562375411,"hat(italic(r))[HE]","5~gen.~xAM"
0,"6-variate","rgtrue","BIP","ALC",0.00326729517382106,0.0101412160501777,"italic(r)[score]","0~gen.~xAM"
1,"6-variate","rgtrue","BIP","ALC",0.0290900236077836,0.0134400958414524,"italic(r)[score]","1~gen.~xAM"
3,"6-variate","rgtrue","BIP","ALC",0.0577026198337788,0.0151775079903919,"italic(r)[score]","3~gen.~xAM"
5,"6-variate","rgtrue","BIP","ALC",0.0706098256299466,0.0147946377522262,"italic(r)[score]","5~gen.~xAM"
0,"6-variate","rgHE","BIP","ANX",0.000487565955818764,0.0281957838173737,"hat(italic(r))[HE]","0~gen.~xAM"
1,"6-variate","rgHE","BIP","ANX",0.0270788775749771,0.0253187683663042,"hat(italic(r))[HE]","1~gen.~xAM"
3,"6-variate","rgHE","BIP","ANX",0.0804405669494585,0.0302426033170356,"hat(italic(r))[HE]","3~gen.~xAM"
5,"6-variate","rgHE","BIP","ANX",0.111196058084295,0.04039127899942,"hat(italic(r))[HE]","5~gen.~xAM"
0,"6-variate","rgtrue","BIP","ANX",0.0023093667377801,0.0098409500764984,"italic(r)[score]","0~gen.~xAM"
1,"6-variate","rgtrue","BIP","ANX",0.012742624082645,0.0107238127970931,"italic(r)[score]","1~gen.~xAM"
3,"6-variate","rgtrue","BIP","ANX",0.0283249163354646,0.0121689174596044,"italic(r)[score]","3~gen.~xAM"
5,"6-variate","rgtrue","BIP","ANX",0.0370778902889616,0.0139617039659756,"italic(r)[score]","5~gen.~xAM"
0,"6-variate","rgHE","MDD","ADHD",-0.000245487873576954,0.0270925528862605,"hat(italic(r))[HE]","0~gen.~xAM"
1,"6-variate","rgHE","MDD","ADHD",0.0780559338051506,0.0309378689390247,"hat(italic(r))[HE]","1~gen.~xAM"
3,"6-variate","rgHE","MDD","ADHD",0.182268177674056,0.0377766951918757,"hat(italic(r))[HE]","3~gen.~xAM"
