"gen","seed","scenario","variable","var_label","value","intercept"
4,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.265253670901816,0
5,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.298625672039593,0
0,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",-0.000260048170616667,0
1,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.107570236349195,0
2,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.183341768185533,0
3,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.235204331150269,0
4,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.282119510695326,0
5,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.304253280933838,0
0,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",-0.00205773793590619,0
1,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.098008526648742,0
2,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.180188537493756,0
3,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.240307413547294,0
4,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.276259716837194,0
5,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.305986315031723,0
0,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",2.93995929174519e-05,0
1,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.103247554888279,0
2,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.180043819773954,0
3,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.229546720802273,0
4,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.256017994463487,0
5,100,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.296118454058496,0
0,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",-0.000462024437480385,0
1,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.318495265847667,0
2,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.455531859025851,0
3,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.520532623644757,0
4,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.555746351185493,0
5,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.558961336130591,0
0,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",-0.00115381869852061,0
1,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.314917409326088,0
2,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.4591888979524,0
3,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.524959675785422,0
4,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.559347230735911,0
5,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.561593735203111,0
