"gen","seed","scenario","power","GWAS","relative_T1R"
3,103,"5xAM + VT + GxE","66%","Sibship",1.02870813397129
4,103,"5xAM + VT + GxE","66%","Sibship",1.05741626794258
5,103,"5xAM + VT + GxE","66%","Sibship",0.92822966507177
0,103,"5xAM + VT + GxE","50%","Sibship",0.915750915750916
1,103,"5xAM + VT + GxE","50%","Sibship",0.978021978021978
2,103,"5xAM + VT + GxE","50%","Sibship",0.967032967032968
3,103,"5xAM + VT + GxE","50%","Sibship",1.01831501831502
4,103,"5xAM + VT + GxE","50%","Sibship",1.03113553113553
5,103,"5xAM + VT + GxE","50%","Sibship",0.915750915750916
0,103,"5xAM + VT + GxE","39%","Sibship",0.985581874356334
1,103,"5xAM + VT + GxE","39%","Sibship",0.966014418125644
2,103,"5xAM + VT + GxE","39%","Sibship",1.01235839340886
3,103,"5xAM + VT + GxE","39%","Sibship",1.02883625128733
4,103,"5xAM + VT + GxE","39%","Sibship",0.981462409886714
5,103,"5xAM + VT + GxE","39%","Sibship",1.06076210092688
0,104,"5xAM","66%","Sibship",0.995215311004784
1,104,"5xAM","66%","Sibship",1.00956937799043
2,104,"5xAM","66%","Sibship",0.985645933014354
3,104,"5xAM","66%","Sibship",1.02392344497608
4,104,"5xAM","66%","Sibship",0.952153110047846
5,104,"5xAM","66%","Sibship",0.942583732057416
0,104,"5xAM","50%","Sibship",0.945054945054946
1,104,"5xAM","50%","Sibship",0.913919413919414
2,104,"5xAM","50%","Sibship",0.97985347985348
3,104,"5xAM","50%","Sibship",1.0952380952381
4,104,"5xAM","50%","Sibship",1.02747252747253
5,104,"5xAM","50%","Sibship",1.02564102564103
0,104,"5xAM","39%","Sibship",1.03604531410917
1,104,"5xAM","39%","Sibship",1.01132852729145
2,104,"5xAM","39%","Sibship",1.07106076210093
3,104,"5xAM","39%","Sibship",0.989701338825952
4,104,"5xAM","39%","Sibship",0.991761071060762
5,104,"5xAM","39%","Sibship",0.975283213182286
0,104,"5xAM + GxE","66%","Sibship",0.92822966507177
1,104,"5xAM + GxE","66%","Sibship",1.0622009569378
2,104,"5xAM + GxE","66%","Sibship",0.942583732057416
3,104,"5xAM + GxE","66%","Sibship",0.875598086124402
