"seed","gen","scenario_label","latent_r","args_kphen","args_kmate","args_rmate","he_rg","rg_true","he_h2","h2_true"
111,0,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.00991764544872084,0.00476870896381541,0.492156848311424,0.492491022309254
111,1,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0532489390300129,0.0280301359018954,0.507875591516495,0.498685398643771
111,2,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0703935445023339,0.0354452554075961,0.521363228559494,0.501394180329507
111,3,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0907983668158318,0.0408818344787739,0.528180420398712,0.506699346728656
111,4,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.100817691460931,0.0428018794595657,0.525700509548187,0.506564831690312
111,5,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.125861091834147,0.043160376163567,0.507981389760971,0.51598714699121
111,0,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,-0.000828680633738623,-0.000703770503692126,0.493226158618927,0.493362567071254
111,1,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0483708762688297,0.0238978837260761,0.513837552070618,0.500501773631149
111,2,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0825557651796944,0.038306921024174,0.527556800842285,0.503831004604512
111,3,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.106581881576674,0.0484371562744674,0.536964869499207,0.501793359595738
111,4,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.121239733630682,0.0555802880391808,0.542727363109589,0.508711211209304
111,5,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.11434528305087,0.0574322516962856,0.535031270980835,0.505075815160861
112,0,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.00664225854158541,0.00223057919281821,0.50046581029892,0.502355174824844
112,1,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.052846322784357,0.0275661297877906,0.522340148687363,0.508826194508345
112,2,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0711489527030042,0.0360973004466922,0.533018887042999,0.513016747847289
112,3,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0971232597516783,0.0470346278415762,0.537508964538574,0.51530910981155
112,4,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.101547767503984,0.0464649767020722,0.542146921157837,0.51510196892331
112,5,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.043512185826858,0.0457734473659096,0.541518092155457,0.515975002392182
112,0,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,-0.00138194414222919,-0.000545036505764356,0.501277786493301,0.501154959337503
112,1,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0517307169809498,0.0246281575939894,0.522939258813858,0.508067531025789
112,2,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0866692647248753,0.0420005718678153,0.535989856719971,0.513614917436141
112,3,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.106794958438972,0.0517041699801912,0.546444845199585,0.514497032672401
