"seed","gen","variable","value","type","traits"
27,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.03679261793349,"rgHE","edu / height"
27,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.910851329504552,"rgHE","edu / height"
27,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.85731563984638,"rgHE","edu / height"
28,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",-0.495412824366266,"rgHE","edu / height"
28,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00311867346868,"rgHE","edu / height"
28,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.03296595215625,"rgHE","edu / height"
28,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.937076639201843,"rgHE","edu / height"
28,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.992091830996851,"rgHE","edu / height"
28,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.917635360396769,"rgHE","edu / height"
29,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.0727783617466606,"rgHE","edu / height"
29,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.978570956687471,"rgHE","edu / height"
29,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.0428663123201,"rgHE","edu / height"
29,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00404297291678,"rgHE","edu / height"
29,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.898395115837744,"rgHE","edu / height"
29,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.13918698038714,"rgHE","edu / height"
3,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",-0.17631046615701,"rgHE","edu / height"
3,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.976650319018662,"rgHE","edu / height"
3,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.990678252089489,"rgHE","edu / height"
3,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.05180592474297,"rgHE","edu / height"
3,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.953906541977389,"rgHE","edu / height"
3,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00724424645654,"rgHE","edu / height"
30,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",-0.235425223130927,"rgHE","edu / height"
30,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.935402332688359,"rgHE","edu / height"
30,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01565295750234,"rgHE","edu / height"
30,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.984847435256126,"rgHE","edu / height"
30,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.893478549185121,"rgHE","edu / height"
30,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.900213030098772,"rgHE","edu / height"
31,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
31,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.13277926514011,"rgHE","edu / height"
31,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.958477622282931,"rgHE","edu / height"
31,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.03517909549034,"rgHE","edu / height"
31,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.983258341047101,"rgHE","edu / height"
31,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.1176327808966,"rgHE","edu / height"
32,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
