"gen","scenario","seed","type","rg"
2,"RM + VT (5%)",20,"True",-0.00186027620848154
3,"RM + VT (5%)",20,"True",-0.00650758139439122
4,"RM + VT (5%)",20,"True",-0.00190576617793148
5,"RM + VT (5%)",20,"True",-0.00594485424389261
0,"5xAM",20,"True",1.08272901359354e-05
1,"5xAM",20,"True",0.0226674913144821
2,"5xAM",20,"True",0.0421718358088386
3,"5xAM",20,"True",0.0501868699996215
4,"5xAM",20,"True",0.0587004798868845
5,"5xAM",20,"True",0.0631835458658159
0,"5xAM + VT (5%)",20,"True",0.000638773854324581
1,"5xAM + VT (5%)",20,"True",0.0181164606797526
2,"5xAM + VT (5%)",20,"True",0.0328670381583117
3,"5xAM + VT (5%)",20,"True",0.0424195097409019
4,"5xAM + VT (5%)",20,"True",0.050414901825541
5,"5xAM + VT (5%)",20,"True",0.0550167756296992
0,"RM",21,"True",0.000754838158429958
1,"RM",21,"True",-0.00141878033481829
2,"RM",21,"True",0.0007793100787607
3,"RM",21,"True",0.00111119283666362
4,"RM",21,"True",0.00169421287156881
5,"RM",21,"True",-0.000968990021584959
0,"RM + VT (5%)",21,"True",0.000789756878686653
1,"RM + VT (5%)",21,"True",0.000603390077803926
2,"RM + VT (5%)",21,"True",-0.00084648007779472
3,"RM + VT (5%)",21,"True",-0.00113532289522791
4,"RM + VT (5%)",21,"True",-0.00487863747294246
5,"RM + VT (5%)",21,"True",-0.00184334152739289
0,"5xAM",21,"True",0.000250411763893828
1,"5xAM",21,"True",0.0240059796566001
2,"5xAM",21,"True",0.0403456006787795
3,"5xAM",21,"True",0.0492926238749758
4,"5xAM",21,"True",0.0582203064578116
5,"5xAM",21,"True",0.0636291117429869
0,"5xAM + VT (5%)",21,"True",-0.000239268485508687
1,"5xAM + VT (5%)",21,"True",0.0170568569982374
2,"5xAM + VT (5%)",21,"True",0.0322571106947608
3,"5xAM + VT (5%)",21,"True",0.0414068696711899
4,"5xAM + VT (5%)",21,"True",0.0477794230120314
5,"5xAM + VT (5%)",21,"True",0.0535949106944545
0,"RM",22,"True",0.000609618944130967
1,"RM",22,"True",0.000328998199777689
2,"RM",22,"True",0.000645454177301689
3,"RM",22,"True",0.00301250294534766
4,"RM",22,"True",-0.00127755053738899
5,"RM",22,"True",0.00339745915628605
0,"RM + VT (5%)",22,"True",-0.000247035686021605
1,"RM + VT (5%)",22,"True",-0.00027284087837058
2,"RM + VT (5%)",22,"True",0.0001230999949544
3,"RM + VT (5%)",22,"True",0.00139622164469363
4,"RM + VT (5%)",22,"True",0.00378445989754029
5,"RM + VT (5%)",22,"True",0.00286823527083872
0,"5xAM",22,"True",-0.000217716651007014
1,"5xAM",22,"True",0.0213622257993054
2,"5xAM",22,"True",0.0389635851559086
3,"5xAM",22,"True",0.0500793954420488
4,"5xAM",22,"True",0.0562405714771435
5,"5xAM",22,"True",0.0573377555064185
0,"5xAM + VT (5%)",22,"True",0.000401955573885232
1,"5xAM + VT (5%)",22,"True",0.0158678085652118
2,"5xAM + VT (5%)",22,"True",0.0299176224076639
3,"5xAM + VT (5%)",22,"True",0.0408682531262129
4,"5xAM + VT (5%)",22,"True",0.0521877126205579
5,"5xAM + VT (5%)",22,"True",0.0616764573985372
0,"RM",23,"True",-0.000162899932450239
1,"RM",23,"True",0.00050020741454004
2,"RM",23,"True",3.65027624929049e-05
3,"RM",23,"True",0.000178456951206364
4,"RM",23,"True",0.00215906631746129
5,"RM",23,"True",0.00277081587079975
0,"RM + VT (5%)",23,"True",0.00147969098722478
1,"RM + VT (5%)",23,"True",0.000741202886548366
2,"RM + VT (5%)",23,"True",-0.00121845140725587
3,"RM + VT (5%)",23,"True",-0.00320538820995577
4,"RM + VT (5%)",23,"True",0.00148995053655063
5,"RM + VT (5%)",23,"True",0.00506010819700965
0,"5xAM",23,"True",0.000228439229578694
1,"5xAM",23,"True",0.0260875933834098
2,"5xAM",23,"True",0.0426337511324489
3,"5xAM",23,"True",0.0525660897087354
4,"5xAM",23,"True",0.0575420342281973
5,"5xAM",23,"True",0.0613823383037352
0,"5xAM + VT (5%)",23,"True",0.000281111884938125
1,"5xAM + VT (5%)",23,"True",0.0170027685811789
2,"5xAM + VT (5%)",23,"True",0.031626746376679
3,"5xAM + VT (5%)",23,"True",0.0435946562564179
4,"5xAM + VT (5%)",23,"True",0.0463276363780176
5,"5xAM + VT (5%)",23,"True",0.0491395329103108
0,"RM",24,"True",5.95352217253613e-05
1,"RM",24,"True",-0.000403107620944192
2,"RM",24,"True",-0.00038601529296655
3,"RM",24,"True",3.58835821152617e-05
4,"RM",24,"True",0.000250013837449499
5,"RM",24,"True",0.00590205471717426
0,"RM + VT (5%)",24,"True",-0.000272437227527457
