"seed","gen","variable","value","traits"
26,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.516779336366921,"edu / height"
26,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.5648323330094,"edu / height"
26,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.463725275001282,"edu / height"
26,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.324531418552951,"edu / height"
27,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.00912150234710995,"edu / height"
27,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.291022255641863,"edu / height"
27,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.409043406413403,"edu / height"
27,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.578945864815953,"edu / height"
27,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.497706807556516,"edu / height"
27,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.383901689803086,"edu / height"
28,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.155615559370931,"edu / height"
28,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.35857954894445,"edu / height"
28,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.512735291090118,"edu / height"
28,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.562029560841647,"edu / height"
28,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.487213229103582,"edu / height"
28,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.374000936654704,"edu / height"
29,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",-0.0797610241767491,"edu / height"
29,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.31588145654604,"edu / height"
29,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.483071490019008,"edu / height"
29,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.529281634440262,"edu / height"
29,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.461217700695418,"edu / height"
29,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.430268003251696,"edu / height"
3,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",-0.00280633694378168,"edu / height"
3,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.311477960936823,"edu / height"
3,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.454715092315039,"edu / height"
3,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.586990061432793,"edu / height"
3,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.468364419856592,"edu / height"
3,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.289927530909578,"edu / height"
30,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",-0.0142991574554834,"edu / height"
30,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.350102722229303,"edu / height"
30,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.553933533433402,"edu / height"
30,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.579841864966591,"edu / height"
30,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.426816890236327,"edu / height"
30,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.390454403776666,"edu / height"
31,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",-0.0189686218241177,"edu / height"
