"gen","scenario","seed","gwas_type","fpr"
3,"5xAM + VT (5%)",19,"Population GWAS",0.06525
4,"5xAM + VT (5%)",19,"Population GWAS",0.0705
5,"5xAM + VT (5%)",19,"Population GWAS",0.0733125
0,"RM",2,"Population GWAS",0.050375
1,"RM",2,"Population GWAS",0.0464375
2,"RM",2,"Population GWAS",0.049375
3,"RM",2,"Population GWAS",0.049875
4,"RM",2,"Population GWAS",0.0485625
5,"RM",2,"Population GWAS",0.050375
0,"RM + VT (5%)",2,"Population GWAS",0.049
1,"RM + VT (5%)",2,"Population GWAS",0.0519375
2,"RM + VT (5%)",2,"Population GWAS",0.0534375
3,"RM + VT (5%)",2,"Population GWAS",0.05125
4,"RM + VT (5%)",2,"Population GWAS",0.0531875
5,"RM + VT (5%)",2,"Population GWAS",0.057125
0,"5xAM",2,"Population GWAS",0.0481875
1,"5xAM",2,"Population GWAS",0.0493125
2,"5xAM",2,"Population GWAS",0.051375
3,"5xAM",2,"Population GWAS",0.05125
4,"5xAM",2,"Population GWAS",0.0508125
5,"5xAM",2,"Population GWAS",0.0535625
0,"5xAM + VT (5%)",2,"Population GWAS",0.048875
1,"5xAM + VT (5%)",2,"Population GWAS",0.057625
2,"5xAM + VT (5%)",2,"Population GWAS",0.0615625
3,"5xAM + VT (5%)",2,"Population GWAS",0.06625
4,"5xAM + VT (5%)",2,"Population GWAS",0.0666875
5,"5xAM + VT (5%)",2,"Population GWAS",0.0715625
0,"RM",20,"Population GWAS",0.04775
1,"RM",20,"Population GWAS",0.0494375
2,"RM",20,"Population GWAS",0.0460625
3,"RM",20,"Population GWAS",0.049375
4,"RM",20,"Population GWAS",0.0510625
5,"RM",20,"Population GWAS",0.0511875
0,"RM + VT (5%)",20,"Population GWAS",0.050125
1,"RM + VT (5%)",20,"Population GWAS",0.051375
2,"RM + VT (5%)",20,"Population GWAS",0.0525
3,"RM + VT (5%)",20,"Population GWAS",0.0520625
4,"RM + VT (5%)",20,"Population GWAS",0.0548125
5,"RM + VT (5%)",20,"Population GWAS",0.05375
0,"5xAM",20,"Population GWAS",0.0511875
1,"5xAM",20,"Population GWAS",0.0489375
2,"5xAM",20,"Population GWAS",0.0495
3,"5xAM",20,"Population GWAS",0.0495
4,"5xAM",20,"Population GWAS",0.050375
5,"5xAM",20,"Population GWAS",0.0515625
0,"5xAM + VT (5%)",20,"Population GWAS",0.05
1,"5xAM + VT (5%)",20,"Population GWAS",0.055375
2,"5xAM + VT (5%)",20,"Population GWAS",0.060625
3,"5xAM + VT (5%)",20,"Population GWAS",0.068375
4,"5xAM + VT (5%)",20,"Population GWAS",0.0655
5,"5xAM + VT (5%)",20,"Population GWAS",0.0721875
0,"RM",21,"Population GWAS",0.053875
1,"RM",21,"Population GWAS",0.050375
2,"RM",21,"Population GWAS",0.0503125
3,"RM",21,"Population GWAS",0.04675
4,"RM",21,"Population GWAS",0.0515625
5,"RM",21,"Population GWAS",0.0488125
0,"RM + VT (5%)",21,"Population GWAS",0.048375
1,"RM + VT (5%)",21,"Population GWAS",0.05425
2,"RM + VT (5%)",21,"Population GWAS",0.0513125
3,"RM + VT (5%)",21,"Population GWAS",0.0509375
4,"RM + VT (5%)",21,"Population GWAS",0.052625
5,"RM + VT (5%)",21,"Population GWAS",0.052125
0,"5xAM",21,"Population GWAS",0.04975
1,"5xAM",21,"Population GWAS",0.05075
2,"5xAM",21,"Population GWAS",0.050125
3,"5xAM",21,"Population GWAS",0.05225
4,"5xAM",21,"Population GWAS",0.0519375
5,"5xAM",21,"Population GWAS",0.0475625
0,"5xAM + VT (5%)",21,"Population GWAS",0.0515625
1,"5xAM + VT (5%)",21,"Population GWAS",0.057625
2,"5xAM + VT (5%)",21,"Population GWAS",0.062375
3,"5xAM + VT (5%)",21,"Population GWAS",0.0693125
4,"5xAM + VT (5%)",21,"Population GWAS",0.068125
5,"5xAM + VT (5%)",21,"Population GWAS",0.068375
0,"RM",22,"Population GWAS",0.0503125
1,"RM",22,"Population GWAS",0.0489375
2,"RM",22,"Population GWAS",0.051375
3,"RM",22,"Population GWAS",0.0488125
4,"RM",22,"Population GWAS",0.0495
5,"RM",22,"Population GWAS",0.0519375
0,"RM + VT (5%)",22,"Population GWAS",0.050625
1,"RM + VT (5%)",22,"Population GWAS",0.050875
2,"RM + VT (5%)",22,"Population GWAS",0.0515
3,"RM + VT (5%)",22,"Population GWAS",0.0496875
4,"RM + VT (5%)",22,"Population GWAS",0.0529375
5,"RM + VT (5%)",22,"Population GWAS",0.0540625
0,"5xAM",22,"Population GWAS",0.0505
1,"5xAM",22,"Population GWAS",0.0506875
2,"5xAM",22,"Population GWAS",0.04975
3,"5xAM",22,"Population GWAS",0.049875
4,"5xAM",22,"Population GWAS",0.050125
5,"5xAM",22,"Population GWAS",0.048625
0,"5xAM + VT (5%)",22,"Population GWAS",0.0529375
1,"5xAM + VT (5%)",22,"Population GWAS",0.05525
2,"5xAM + VT (5%)",22,"Population GWAS",0.062375
3,"5xAM + VT (5%)",22,"Population GWAS",0.0676875
4,"5xAM + VT (5%)",22,"Population GWAS",0.0678125
5,"5xAM + VT (5%)",22,"Population GWAS",0.0713125
0,"RM",23,"Population GWAS",0.054375
1,"RM",23,"Population GWAS",0.0499375
2,"RM",23,"Population GWAS",0.0529375
3,"RM",23,"Population GWAS",0.0511875
4,"RM",23,"Population GWAS",0.0479375
5,"RM",23,"Population GWAS",0.0511875
0,"RM + VT (5%)",23,"Population GWAS",0.0495625
1,"RM + VT (5%)",23,"Population GWAS",0.0515
2,"RM + VT (5%)",23,"Population GWAS",0.0541875
3,"RM + VT (5%)",23,"Population GWAS",0.05325
4,"RM + VT (5%)",23,"Population GWAS",0.05175
5,"RM + VT (5%)",23,"Population GWAS",0.0548125
0,"5xAM",23,"Population GWAS",0.0518125
1,"5xAM",23,"Population GWAS",0.050375
2,"5xAM",23,"Population GWAS",0.05
3,"5xAM",23,"Population GWAS",0.0508125
4,"5xAM",23,"Population GWAS",0.0516875
5,"5xAM",23,"Population GWAS",0.0509375
0,"5xAM + VT (5%)",23,"Population GWAS",0.0499375
1,"5xAM + VT (5%)",23,"Population GWAS",0.0551875
2,"5xAM + VT (5%)",23,"Population GWAS",0.0651875
3,"5xAM + VT (5%)",23,"Population GWAS",0.068125
4,"5xAM + VT (5%)",23,"Population GWAS",0.0680625
5,"5xAM + VT (5%)",23,"Population GWAS",0.0719375
0,"RM",24,"Population GWAS",0.0509375
1,"RM",24,"Population GWAS",0.0496875
2,"RM",24,"Population GWAS",0.0531875
3,"RM",24,"Population GWAS",0.0524375
4,"RM",24,"Population GWAS",0.0498125
5,"RM",24,"Population GWAS",0.0504375
0,"RM + VT (5%)",24,"Population GWAS",0.0488125
1,"RM + VT (5%)",24,"Population GWAS",0.0554375
2,"RM + VT (5%)",24,"Population GWAS",0.0509375
3,"RM + VT (5%)",24,"Population GWAS",0.052125
4,"RM + VT (5%)",24,"Population GWAS",0.0519375
5,"RM + VT (5%)",24,"Population GWAS",0.055375
0,"5xAM",24,"Population GWAS",0.0493125
1,"5xAM",24,"Population GWAS",0.046625
2,"5xAM",24,"Population GWAS",0.04825
3,"5xAM",24,"Population GWAS",0.048125
4,"5xAM",24,"Population GWAS",0.0508125
5,"5xAM",24,"Population GWAS",0.0548125
0,"5xAM + VT (5%)",24,"Population GWAS",0.0493125
1,"5xAM + VT (5%)",24,"Population GWAS",0.052
2,"5xAM + VT (5%)",24,"Population GWAS",0.0608125
3,"5xAM + VT (5%)",24,"Population GWAS",0.0651875
4,"5xAM + VT (5%)",24,"Population GWAS",0.0683125
5,"5xAM + VT (5%)",24,"Population GWAS",0.0665
0,"RM",25,"Population GWAS",0.04975
1,"RM",25,"Population GWAS",0.0470625
2,"RM",25,"Population GWAS",0.05
3,"RM",25,"Population GWAS",0.051875
4,"RM",25,"Population GWAS",0.0495625
5,"RM",25,"Population GWAS",0.048
0,"RM + VT (5%)",25,"Population GWAS",0.047625
1,"RM + VT (5%)",25,"Population GWAS",0.049125
2,"RM + VT (5%)",25,"Population GWAS",0.0498125
3,"RM + VT (5%)",25,"Population GWAS",0.0546875
4,"RM + VT (5%)",25,"Population GWAS",0.053375
5,"RM + VT (5%)",25,"Population GWAS",0.0521875
0,"5xAM",25,"Population GWAS",0.051375
1,"5xAM",25,"Population GWAS",0.0515625
2,"5xAM",25,"Population GWAS",0.0533125
3,"5xAM",25,"Population GWAS",0.0521875
4,"5xAM",25,"Population GWAS",0.0511875
5,"5xAM",25,"Population GWAS",0.052125
0,"5xAM + VT (5%)",25,"Population GWAS",0.0496875
1,"5xAM + VT (5%)",25,"Population GWAS",0.0570625
2,"5xAM + VT (5%)",25,"Population GWAS",0.0618125
3,"5xAM + VT (5%)",25,"Population GWAS",0.0650625
4,"5xAM + VT (5%)",25,"Population GWAS",0.0698125
5,"5xAM + VT (5%)",25,"Population GWAS",0.07075
0,"RM",26,"Population GWAS",0.0493125
1,"RM",26,"Population GWAS",0.047875
2,"RM",26,"Population GWAS",0.051
3,"RM",26,"Population GWAS",0.0500625
4,"RM",26,"Population GWAS",0.050125
5,"RM",26,"Population GWAS",0.0508125
0,"RM + VT (5%)",26,"Population GWAS",0.0499375
1,"RM + VT (5%)",26,"Population GWAS",0.0494375
