"seed","gen","variable","value","Outcome","Quantity"
4,5,"h2HE_height",0.707551717758179,"height","h2_HE"
40,0,"h2HE_height",0.605832934379578,"height","h2_HE"
40,1,"h2HE_height",0.648639798164368,"height","h2_HE"
40,2,"h2HE_height",0.682808339595795,"height","h2_HE"
40,3,"h2HE_height",0.703371822834015,"height","h2_HE"
40,4,"h2HE_height",0.707109034061432,"height","h2_HE"
40,5,"h2HE_height",0.732047557830811,"height","h2_HE"
41,0,"h2HE_height",0.609205424785614,"height","h2_HE"
41,1,"h2HE_height",0.649161636829376,"height","h2_HE"
41,2,"h2HE_height",0.68275910615921,"height","h2_HE"
41,3,"h2HE_height",0.709186196327209,"height","h2_HE"
41,4,"h2HE_height",0.716019630432129,"height","h2_HE"
41,5,"h2HE_height",0.749996602535248,"height","h2_HE"
42,0,"h2HE_height",0.611488044261932,"height","h2_HE"
42,1,"h2HE_height",0.661005437374115,"height","h2_HE"
42,2,"h2HE_height",0.702704548835754,"height","h2_HE"
42,3,"h2HE_height",0.710577428340912,"height","h2_HE"
42,4,"h2HE_height",0.720612347126007,"height","h2_HE"
42,5,"h2HE_height",0.736352860927582,"height","h2_HE"
43,0,"h2HE_height",0.621420741081238,"height","h2_HE"
43,1,"h2HE_height",0.659974575042725,"height","h2_HE"
43,2,"h2HE_height",0.696595430374146,"height","h2_HE"
43,3,"h2HE_height",0.706329345703125,"height","h2_HE"
43,4,"h2HE_height",0.738518536090851,"height","h2_HE"
43,5,"h2HE_height",0.753196477890015,"height","h2_HE"
44,0,"h2HE_height",0.601786434650421,"height","h2_HE"
44,1,"h2HE_height",0.646974682807922,"height","h2_HE"
44,2,"h2HE_height",0.668901443481445,"height","h2_HE"
44,3,"h2HE_height",0.704459071159363,"height","h2_HE"
44,4,"h2HE_height",0.709716200828552,"height","h2_HE"
44,5,"h2HE_height",0.714853465557098,"height","h2_HE"
45,0,"h2HE_height",0.57988440990448,"height","h2_HE"
45,1,"h2HE_height",0.628087818622589,"height","h2_HE"
45,2,"h2HE_height",0.670524537563324,"height","h2_HE"
45,3,"h2HE_height",0.672945976257324,"height","h2_HE"
45,4,"h2HE_height",0.681144297122955,"height","h2_HE"
45,5,"h2HE_height",0.684740781784058,"height","h2_HE"
46,0,"h2HE_height",0.602182626724243,"height","h2_HE"
46,1,"h2HE_height",0.641197383403778,"height","h2_HE"
46,2,"h2HE_height",0.664780914783478,"height","h2_HE"
46,3,"h2HE_height",0.693649232387543,"height","h2_HE"
46,4,"h2HE_height",0.705776035785675,"height","h2_HE"
46,5,"h2HE_height",0.694359838962555,"height","h2_HE"
47,0,"h2HE_height",0.58555543422699,"height","h2_HE"
47,1,"h2HE_height",0.63624119758606,"height","h2_HE"
47,2,"h2HE_height",0.668129682540894,"height","h2_HE"
47,3,"h2HE_height",0.693473100662231,"height","h2_HE"
47,4,"h2HE_height",0.681478142738342,"height","h2_HE"
47,5,"h2HE_height",0.713646650314331,"height","h2_HE"
48,0,"h2HE_height",0.596889913082123,"height","h2_HE"
