"gen","seed","args_rmate","args_kphen","args_theta","args_cnoise","he_rg","rg_true","scenario","CN"
5,101,0.1,5,0,0,0.122248554069165,0.0560196375592664,"5xAM","0"
0,101,0.1,5,0,0,-5.86549863641778e-05,0.000470355141599651,"5xAM","0"
1,101,0.1,5,0,0,0.0545348263852196,0.026054246008776,"5xAM","0"
2,101,0.1,5,0,0,0.086173207619953,0.0413811768182282,"5xAM","0"
3,101,0.1,5,0,0,0.0981602562020823,0.0491874723722712,"5xAM","0"
4,101,0.1,5,0,0,0.119852567532045,0.05904225876673,"5xAM","0"
5,101,0.1,5,0,0,0.124810329996943,0.0565501579741042,"5xAM","0"
0,101,0.1,5,0.05,0,-0.00079386156530499,-0.000535690053346865,"5xAM + VT (5%)","0"
1,101,0.1,5,0.05,0,0.234811755946431,0.0166807015672231,"5xAM + VT (5%)","0"
2,101,0.1,5,0.05,0,0.319244051415948,0.026538692563469,"5xAM + VT (5%)","0"
3,101,0.1,5,0.05,0,0.35093595984613,0.0321962121891308,"5xAM + VT (5%)","0"
4,101,0.1,5,0.05,0,0.351059520876225,0.0317484845612217,"5xAM + VT (5%)","0"
5,101,0.1,5,0.05,0,0.340860281591759,0.0299750010249655,"5xAM + VT (5%)","0"
0,101,0.1,5,0.05,0,0.00293840868209525,0.000475797756202789,"5xAM + VT (5%)","0"
1,101,0.1,5,0.05,0,0.235899236922524,0.0169591745035047,"5xAM + VT (5%)","0"
2,101,0.1,5,0.05,0,0.328472487653219,0.0287420507617045,"5xAM + VT (5%)","0"
3,101,0.1,5,0.05,0,0.358490307859777,0.0323546691914138,"5xAM + VT (5%)","0"
4,101,0.1,5,0.05,0,0.35302047615054,0.0319687638998363,"5xAM + VT (5%)","0"
5,101,0.1,5,0.05,0,0.364793076682485,0.0347119185625734,"5xAM + VT (5%)","0"
0,101,0.1,5,0.05,0,-0.00097215908235057,-0.000254259434626377,"5xAM + VT (5%)","0"
1,101,0.1,5,0.05,0,0.246026192628131,0.0173477758008126,"5xAM + VT (5%)","0"
2,101,0.1,5,0.05,0,0.347294481228124,0.0274194099293292,"5xAM + VT (5%)","0"
3,101,0.1,5,0.05,0,0.378251521001031,0.0304055025332939,"5xAM + VT (5%)","0"
4,101,0.1,5,0.05,0,0.392877451972729,0.0290809640686541,"5xAM + VT (5%)","0"
5,101,0.1,5,0.05,0,0.400978476566794,0.0295492105480102,"5xAM + VT (5%)","0"
0,102,0.1,5,0,0,-0.00112344128708382,-0.000890466115280941,"5xAM","0"
1,102,0.1,5,0,0,0.0495598926040962,0.0244334165125267,"5xAM","0"
2,102,0.1,5,0,0,0.0777277334862973,0.0369164154241443,"5xAM","0"
3,102,0.1,5,0,0,0.0915454871243309,0.0433418938023999,"5xAM","0"
4,102,0.1,5,0,0,0.10078817739067,0.0506559755446761,"5xAM","0"
