"gen","scenario","seed","quantity","h2"
2,"5xAM + VT",110,"Panmictic (causal var.)",0.412868491037935
3,"5xAM + VT",110,"Panmictic (causal var.)",0.403517511244975
4,"5xAM + VT",110,"Panmictic (causal var.)",0.4034282361261
5,"5xAM + VT",110,"Panmictic (causal var.)",0.403781344988369
0,"5xAM + VT + GxE",110,"Panmictic (causal var.)",0.499214235283049
1,"5xAM + VT + GxE",110,"Panmictic (causal var.)",0.432950186069346
2,"5xAM + VT + GxE",110,"Panmictic (causal var.)",0.407259516088579
3,"5xAM + VT + GxE",110,"Panmictic (causal var.)",0.397276416798957
4,"5xAM + VT + GxE",110,"Panmictic (causal var.)",0.389219038500067
5,"5xAM + VT + GxE",110,"Panmictic (causal var.)",0.391923796721253
0,"5xAM",111,"Panmictic (causal var.)",0.493024475875291
1,"5xAM",111,"Panmictic (causal var.)",0.488540830392238
2,"5xAM",111,"Panmictic (causal var.)",0.484834531864843
3,"5xAM",111,"Panmictic (causal var.)",0.478502973801111
4,"5xAM",111,"Panmictic (causal var.)",0.48130492713913
5,"5xAM",111,"Panmictic (causal var.)",0.481709493463321
0,"5xAM + GxE",111,"Panmictic (causal var.)",0.496981436515361
1,"5xAM + GxE",111,"Panmictic (causal var.)",0.490381220056816
2,"5xAM + GxE",111,"Panmictic (causal var.)",0.486531287021946
3,"5xAM + GxE",111,"Panmictic (causal var.)",0.482816339362238
4,"5xAM + GxE",111,"Panmictic (causal var.)",0.481372460266164
5,"5xAM + GxE",111,"Panmictic (causal var.)",0.483749596908308
0,"5xAM + VT",111,"Panmictic (causal var.)",0.493769243519144
1,"5xAM + VT",111,"Panmictic (causal var.)",0.431693715685771
2,"5xAM + VT",111,"Panmictic (causal var.)",0.409651921804551
3,"5xAM + VT",111,"Panmictic (causal var.)",0.400804156941479
4,"5xAM + VT",111,"Panmictic (causal var.)",0.401379621990067
5,"5xAM + VT",111,"Panmictic (causal var.)",0.393614173878655
0,"5xAM + VT + GxE",111,"Panmictic (causal var.)",0.494658001626938
1,"5xAM + VT + GxE",111,"Panmictic (causal var.)",0.428986142873357
2,"5xAM + VT + GxE",111,"Panmictic (causal var.)",0.401294908642179
3,"5xAM + VT + GxE",111,"Panmictic (causal var.)",0.388903867410348
4,"5xAM + VT + GxE",111,"Panmictic (causal var.)",0.386936013297801
5,"5xAM + VT + GxE",111,"Panmictic (causal var.)",0.383212824723193
0,"5xAM",112,"Panmictic (causal var.)",0.501379884519132
1,"5xAM",112,"Panmictic (causal var.)",0.495633448769605
2,"5xAM",112,"Panmictic (causal var.)",0.492451801014736
3,"5xAM",112,"Panmictic (causal var.)",0.490120469783997
4,"5xAM",112,"Panmictic (causal var.)",0.489256895893192
5,"5xAM",112,"Panmictic (causal var.)",0.485490325101605
