"gen","xAM","outcome","pheno_1","pheno_2","value","se"
4,"6-variate","rgHE","ADHD","MDD",0.206878533724432,0.0397285158572991
5,"6-variate","rgHE","ADHD","MDD",0.235259107527345,0.0410167541371233
0,"2-variate","rgtrue","ADHD","MDD",0.000536026827771783,0.0103881759396448
1,"2-variate","rgtrue","ADHD","MDD",0.0394385741922406,0.0135818402808666
2,"2-variate","rgtrue","ADHD","MDD",0.0587806211279387,0.0150602489927034
3,"2-variate","rgtrue","ADHD","MDD",0.0723722068836362,0.015235795920448
4,"2-variate","rgtrue","ADHD","MDD",0.0879429582307408,0.0158458005612284
5,"2-variate","rgtrue","ADHD","MDD",0.0913849719895349,0.0164782623095639
0,"6-variate","rgtrue","ADHD","MDD",0.000536026827771783,0.0103881759396448
1,"6-variate","rgtrue","ADHD","MDD",0.0367089247383263,0.0119865404464184
2,"6-variate","rgtrue","ADHD","MDD",0.0649895351461995,0.0145566640173455
3,"6-variate","rgtrue","ADHD","MDD",0.0772345914673807,0.0162899112018469
4,"6-variate","rgtrue","ADHD","MDD",0.0939305743735448,0.0185678519100199
5,"6-variate","rgtrue","ADHD","MDD",0.100506437100977,0.0173575431654851
0,"2-variate","gamma","ALC","MDD",-0.00412386274469338,0.107347915677161
1,"2-variate","gamma","ALC","MDD",0.0982830027905717,0.0996447444001475
2,"2-variate","gamma","ALC","MDD",0.187087729256236,0.12996371119947
3,"2-variate","gamma","ALC","MDD",0.233833687818069,0.126496402945763
4,"2-variate","gamma","ALC","MDD",0.273011382441049,0.116278339443441
5,"2-variate","gamma","ALC","MDD",0.255928118640247,0.109680744239076
0,"6-variate","gamma","ALC","MDD",-0.00412386274469338,0.107347915677161
1,"6-variate","gamma","ALC","MDD",0.118285469884868,0.0868106751279589
2,"6-variate","gamma","ALC","MDD",0.218295716544982,0.0960801801169226
3,"6-variate","gamma","ALC","MDD",0.334023392248184,0.109046783043593
4,"6-variate","gamma","ALC","MDD",0.396318615322613,0.106669487631111
5,"6-variate","gamma","ALC","MDD",0.472464050366196,0.101719409106732
0,"2-variate","rgHE","ALC","MDD",-0.00141325484175228,0.0367885593847194
1,"2-variate","rgHE","ALC","MDD",0.0336819626884997,0.0341486566165131
2,"2-variate","rgHE","ALC","MDD",0.0641157352305708,0.0445390887128709
3,"2-variate","rgHE","ALC","MDD",0.0801357258139859,0.0433508375069838
4,"2-variate","rgHE","ALC","MDD",0.0935621370674152,0.0398490530993811
5,"2-variate","rgHE","ALC","MDD",0.0877076099810947,0.0375880360759743
0,"6-variate","rgHE","ALC","MDD",-0.00141325484175228,0.0367885593847194
1,"6-variate","rgHE","ALC","MDD",0.0405369414175326,0.0297503663215326
2,"6-variate","rgHE","ALC","MDD",0.0748108186788025,0.0329270579254664
3,"6-variate","rgHE","ALC","MDD",0.114471150232105,0.0373707710085504
4,"6-variate","rgHE","ALC","MDD",0.135819990830657,0.0365560695429669
5,"6-variate","rgHE","ALC","MDD",0.161915354708966,0.03485964746666
0,"2-variate","rgtrue","ALC","MDD",0.00152364712210118,0.0099860763691002
1,"2-variate","rgtrue","ALC","MDD",0.0215130748323153,0.0113054077080003
2,"2-variate","rgtrue","ALC","MDD",0.0329069726239349,0.0121502212444842
3,"2-variate","rgtrue","ALC","MDD",0.0372721203428244,0.0146383327511574
4,"2-variate","rgtrue","ALC","MDD",0.0470723817458099,0.015095045765905
5,"2-variate","rgtrue","ALC","MDD",0.0463800327508944,0.0152040822143649
0,"6-variate","rgtrue","ALC","MDD",0.00152364712210118,0.0099860763691002
1,"6-variate","rgtrue","ALC","MDD",0.0190577221225305,0.0117537428673934
2,"6-variate","rgtrue","ALC","MDD",0.0352099319524217,0.0116408398151078
3,"6-variate","rgtrue","ALC","MDD",0.047528442445843,0.013989537170139
4,"6-variate","rgtrue","ALC","MDD",0.0586408972317802,0.0141683604111491
5,"6-variate","rgtrue","ALC","MDD",0.0645871021911534,0.0127702749809816
0,"2-variate","gamma","ANX","MDD",-0.0138127330637155,0.0425826706057462
1,"2-variate","gamma","ANX","MDD",0.0798725301791609,0.0419396229266244
2,"2-variate","gamma","ANX","MDD",0.138839439972504,0.0367979170348588
3,"2-variate","gamma","ANX","MDD",0.170148547869646,0.0449072795776804
4,"2-variate","gamma","ANX","MDD",0.190756598156537,0.0468853379031684
5,"2-variate","gamma","ANX","MDD",0.201958811301802,0.0494158378359317
0,"6-variate","gamma","ANX","MDD",-0.0138127330637155,0.0425826706057462
1,"6-variate","gamma","ANX","MDD",0.0773340886411501,0.0351990072137251
2,"6-variate","gamma","ANX","MDD",0.157298506477995,0.0439796490814064
3,"6-variate","gamma","ANX","MDD",0.200319653481734,0.0369916761181587
4,"6-variate","gamma","ANX","MDD",0.224655646935951,0.0435369396365541
5,"6-variate","gamma","ANX","MDD",0.25185493095831,0.040423431043311
0,"2-variate","rgHE","ANX","MDD",-0.0120052473255554,0.0370103602525279
1,"2-variate","rgHE","ANX","MDD",0.0694205364676646,0.036451462410952
2,"2-variate","rgHE","ANX","MDD",0.120671131548694,0.031982588556732
3,"2-variate","rgHE","ANX","MDD",0.147883144653699,0.0390307672953262
