"seed","gen","scenario","GWAS","xAM","relative_T1R","power"
107,5,"5xAM","Sibship","5-variate",1.02747252747253,"50%"
107,0,"5xAM","Sibship","5-variate",0.993820803295572,"39%"
107,1,"5xAM","Sibship","5-variate",1.01338825952626,"39%"
107,2,"5xAM","Sibship","5-variate",1.01235839340886,"39%"
107,3,"5xAM","Sibship","5-variate",1.03295571575695,"39%"
107,4,"5xAM","Sibship","5-variate",1.03398558187436,"39%"
107,5,"5xAM","Sibship","5-variate",1.04737384140062,"39%"
108,0,"2xAM","Sibship","2-variate",0.824175824175824,"50%"
108,1,"2xAM","Sibship","2-variate",0.989010989010988,"50%"
108,2,"2xAM","Sibship","2-variate",1.15384615384615,"50%"
108,3,"2xAM","Sibship","2-variate",0.915750915750916,"50%"
108,4,"2xAM","Sibship","2-variate",0.76923076923077,"50%"
108,5,"2xAM","Sibship","2-variate",1.00732600732601,"50%"
108,0,"2xAM","Sibship","2-variate",1.05046343975283,"39%"
108,1,"2xAM","Sibship","2-variate",0.813594232749742,"39%"
108,2,"2xAM","Sibship","2-variate",0.844490216271884,"39%"
108,3,"2xAM","Sibship","2-variate",1.08135942327497,"39%"
108,4,"2xAM","Sibship","2-variate",1.09165808444902,"39%"
108,5,"2xAM","Sibship","2-variate",0.947476828012358,"39%"
108,0,"2xAM","Sibship","2-variate",1.00478468899522,"66%"
108,1,"2xAM","Sibship","2-variate",1.10047846889952,"66%"
108,2,"2xAM","Sibship","2-variate",0.813397129186602,"66%"
108,3,"2xAM","Sibship","2-variate",1.19617224880383,"66%"
108,4,"2xAM","Sibship","2-variate",1.33971291866029,"66%"
108,5,"2xAM","Sibship","2-variate",1.00478468899522,"66%"
108,0,"5xAM","Sibship","5-variate",0.99043062200957,"66%"
108,1,"5xAM","Sibship","5-variate",1.04306220095694,"66%"
108,2,"5xAM","Sibship","5-variate",0.933014354066986,"66%"
108,3,"5xAM","Sibship","5-variate",0.923444976076556,"66%"
108,4,"5xAM","Sibship","5-variate",0.92822966507177,"66%"
108,5,"5xAM","Sibship","5-variate",1.01913875598086,"66%"
108,0,"5xAM","Sibship","5-variate",0.996336996336996,"50%"
108,1,"5xAM","Sibship","5-variate",0.968864468864468,"50%"
108,2,"5xAM","Sibship","5-variate",0.97069597069597,"50%"
108,3,"5xAM","Sibship","5-variate",0.97985347985348,"50%"
108,4,"5xAM","Sibship","5-variate",1.08058608058608,"50%"
108,5,"5xAM","Sibship","5-variate",0.972527472527472,"50%"
108,0,"5xAM","Sibship","5-variate",0.968074150360454,"39%"
108,1,"5xAM","Sibship","5-variate",1.0010298661174,"39%"
108,2,"5xAM","Sibship","5-variate",1.04737384140062,"39%"
108,3,"5xAM","Sibship","5-variate",1.02574665293512,"39%"
108,4,"5xAM","Sibship","5-variate",0.995880535530382,"39%"
108,5,"5xAM","Sibship","5-variate",0.969104016477858,"39%"
109,0,"2xAM","Sibship","2-variate",1.06227106227106,"50%"
109,1,"2xAM","Sibship","2-variate",0.952380952380952,"50%"
109,2,"2xAM","Sibship","2-variate",1.08058608058608,"50%"
109,3,"2xAM","Sibship","2-variate",0.97069597069597,"50%"
109,4,"2xAM","Sibship","2-variate",0.732600732600732,"50%"
109,5,"2xAM","Sibship","2-variate",1.22710622710623,"50%"
109,0,"2xAM","Sibship","2-variate",1.01956745623069,"39%"
109,1,"2xAM","Sibship","2-variate",1.00926879505664,"39%"
109,2,"2xAM","Sibship","2-variate",1.05046343975283,"39%"
109,3,"2xAM","Sibship","2-variate",0.916580844490216,"39%"
109,4,"2xAM","Sibship","2-variate",0.968074150360454,"39%"
109,5,"2xAM","Sibship","2-variate",0.885684860968074,"39%"
109,0,"2xAM","Sibship","2-variate",1.19617224880383,"66%"
109,1,"2xAM","Sibship","2-variate",1.00478468899522,"66%"
109,2,"2xAM","Sibship","2-variate",1.24401913875598,"66%"
109,3,"2xAM","Sibship","2-variate",1.14832535885167,"66%"
109,4,"2xAM","Sibship","2-variate",1.05263157894737,"66%"
109,5,"2xAM","Sibship","2-variate",0.861244019138756,"66%"
109,0,"5xAM","Sibship","5-variate",1.01435406698565,"66%"
109,1,"5xAM","Sibship","5-variate",0.913875598086124,"66%"
109,2,"5xAM","Sibship","5-variate",1.11961722488038,"66%"
109,3,"5xAM","Sibship","5-variate",0.923444976076556,"66%"
109,4,"5xAM","Sibship","5-variate",0.942583732057416,"66%"
109,5,"5xAM","Sibship","5-variate",0.913875598086124,"66%"
109,0,"5xAM","Sibship","5-variate",1.00732600732601,"50%"
