"seed","gen","args_kmate","args_rmate","args_theta","args_phi","scenario","variable","value","GWAS"
10,4,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.000365195973207612,"Sibship"
10,5,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.000801393736245271,"Sibship"
10,0,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.0119390702579059,"Sibship"
10,1,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.0103301131176522,"Sibship"
10,2,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.00012743945843443,"Sibship"
10,3,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.00679798340248161,"Sibship"
10,4,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.0037870183776854,"Sibship"
10,5,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.000692582590330057,"Sibship"
10,0,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.0310888570047936,"Sibship"
10,1,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.0108883624279681,"Sibship"
10,2,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.0130998817428724,"Sibship"
10,3,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",2.90452286717049e-05,"Sibship"
10,4,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.000226485316791311,"Sibship"
10,5,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.00878789567437472,"Sibship"
10,0,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.0247048451637368,"Sibship"
10,1,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.00344827731355011,"Sibship"
10,2,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.00207150513759143,"Sibship"
10,3,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.00252853165545483,"Sibship"
10,4,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.00726088798502447,"Sibship"
10,5,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.00085312811825763,"Sibship"
10,0,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.0127090636369147,"Sibship"
10,1,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.00254651842894253,"Sibship"
10,2,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.00179741335812125,"Sibship"
10,3,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.000817522205440406,"Sibship"
10,4,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.00468477901053679,"Sibship"
10,5,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.00176016502323064,"Sibship"
10,0,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.0336902368211832,"Sibship"
10,1,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.00230496880729844,"Sibship"
10,2,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.000349966139747359,"Sibship"
10,3,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.00679056232363846,"Sibship"
10,4,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.00372137665824112,"Sibship"
10,5,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.00466218875698791,"Sibship"
10,0,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.0345785462682637,"Sibship"
10,1,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.00298801525816816,"Sibship"
10,2,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.00474680523012963,"Sibship"
10,3,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.00805815514959426,"Sibship"
10,4,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.00043027025335239,"Sibship"
10,5,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.00494844031354101,"Sibship"
100,0,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0323109414378639,"Sibship"
100,1,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0153433866835275,"Sibship"
100,2,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0242608742800418,"Sibship"
100,3,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0540076162860097,"Sibship"
100,4,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",0.0155760297822956,"Sibship"
100,5,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",0.070352660517396,"Sibship"
100,0,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",0.00345740117672488,"Sibship"
100,1,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.000983139959201189,"Sibship"
100,2,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0055677222895446,"Sibship"
100,3,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",0.00729134997744087,"Sibship"
100,4,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0249002461116014,"Sibship"
100,5,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",0.00136611402356827,"Sibship"
100,0,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0464281035811227,"Sibship"
100,1,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",0.000514118265529838,"Sibship"
100,2,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",0.0130716177815428,"Sibship"
100,3,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0918706921603589,"Sibship"
100,4,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0314429350845807,"Sibship"
100,5,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.013467633506736,"Sibship"
100,0,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.0279904316688377,"Sibship"
100,1,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.00348117955156722,"Sibship"
100,2,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",-0.0236134998184418,"Sibship"
100,3,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.00458771327936442,"Sibship"
100,4,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.000538893687485821,"Sibship"
100,5,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",-0.0110083999802911,"Sibship"
100,0,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.013099146252219,"Sibship"
100,1,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",-0.0094208187715927,"Sibship"
100,2,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.0104035349975732,"Sibship"
100,3,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.0034591610149042,"Sibship"
100,4,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",-2.62818853906562e-07,"Sibship"
100,5,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.0105591428068599,"Sibship"
100,0,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.0232596767011745,"Sibship"
100,1,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",-0.0058132983842184,"Sibship"
100,2,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.00578311662700446,"Sibship"
100,3,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",-0.00471435266520898,"Sibship"
100,4,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.00961062907293145,"Sibship"
100,5,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",-0.000323208718909201,"Sibship"
100,0,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",0.0143506975453612,"Sibship"
100,1,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",-0.00379664146385236,"Sibship"
100,2,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",0.0143085917333468,"Sibship"
100,3,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",-0.0107556958464712,"Sibship"
100,4,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",-0.0126751916061263,"Sibship"
100,5,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",0.00653692903135001,"Sibship"
100,0,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",0.000752544686693315,"Sibship"
100,1,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",0.002020190382757,"Sibship"
100,2,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",0.012064093284978,"Sibship"
100,3,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",0.0102053270136317,"Sibship"
