"beta","T1E","N","m_causal","kpheno","gen","alpha","beta_quantile","N_label"
-0.021182697640424,0.0842978114531234,1600000,4000,5,5,5e-08,0.953,"1,600,000"
-0.0212112746540989,0.0851509681439083,1600000,4000,5,5,5e-08,0.95325,"1,600,000"
0.0212550436621465,0.0864701959328855,1600000,4000,5,5,5e-08,0.9535,"1,600,000"
-0.0212651118497729,0.0867758082776187,1600000,4000,5,5,5e-08,0.95375,"1,600,000"
0.0212939426135126,0.087655408457338,1600000,4000,5,5,5e-08,0.954,"1,600,000"
0.0214200725757283,0.0915818193699334,1600000,4000,5,5,5e-08,0.95425,"1,600,000"
0.0214272998354666,0.0918106884510461,1600000,4000,5,5,5e-08,0.9545,"1,600,000"
-0.0214390274103902,0.092182972180587,1600000,4000,5,5,5e-08,0.95475,"1,600,000"
0.0214409006421806,0.0922425399709257,1600000,4000,5,5,5e-08,0.955,"1,600,000"
-0.021447778027418,0.0924614815249339,1600000,4000,5,5,5e-08,0.95525,"1,600,000"
0.0214524299724034,0.0926097940212989,1600000,4000,5,5,5e-08,0.9555,"1,600,000"
0.0214911290932611,0.0938504187896489,1600000,4000,5,5,5e-08,0.95575,"1,600,000"
0.0215120399177817,0.0945258661306264,1600000,4000,5,5,5e-08,0.956,"1,600,000"
0.0215532570591657,0.0958677154678755,1600000,4000,5,5,5e-08,0.95625,"1,600,000"
-0.0215728023050867,0.0965088977411876,1600000,4000,5,5,5e-08,0.9565,"1,600,000"
-0.0216062473618909,0.0976133618648706,1600000,4000,5,5,5e-08,0.95675,"1,600,000"
0.0216099935168918,0.0977376468831916,1600000,4000,5,5,5e-08,0.957,"1,600,000"
0.0216290188685322,0.0983706359373392,1600000,4000,5,5,5e-08,0.95725,"1,600,000"
-0.0216404583227156,0.0987526782113732,1600000,4000,5,5,5e-08,0.9575,"1,600,000"
-0.0216870349172344,0.100319403126667,1600000,4000,5,5,5e-08,0.95775,"1,600,000"
0.0217363513799858,0.101997979290874,1600000,4000,5,5,5e-08,0.958,"1,600,000"
0.0217551437243725,0.102642959187071,1600000,4000,5,5,5e-08,0.95825,"1,600,000"
-0.0217762195231068,0.103369831065058,1600000,4000,5,5,5e-08,0.9585,"1,600,000"
-0.0217894200037824,0.103826994181814,1600000,4000,5,5,5e-08,0.95875,"1,600,000"
-0.021801670562585,0.104252569623191,1600000,4000,5,5,5e-08,0.959,"1,600,000"
0.0218339440464772,0.105379776011015,1600000,4000,5,5,5e-08,0.95925,"1,600,000"
0.0219444737372526,0.109306958165673,1600000,4000,5,5,5e-08,0.9595,"1,600,000"
0.0219755671182407,0.110430434845376,1600000,4000,5,5,5e-08,0.95975,"1,600,000"
-0.0220182165522697,0.111984888811609,1600000,4000,5,5,5e-08,0.96,"1,600,000"
-0.0220691959865386,0.11386339541855,1600000,4000,5,5,5e-08,0.96025,"1,600,000"
0.0221411357536245,0.116552289960749,1600000,4000,5,5,5e-08,0.9605,"1,600,000"
-0.0221429426228438,0.116620400193738,1600000,4000,5,5,5e-08,0.96075,"1,600,000"
0.0221752664925558,0.117843624638364,1600000,4000,5,5,5e-08,0.961,"1,600,000"
0.0222021643280825,0.118868410794838,1600000,4000,5,5,5e-08,0.96125,"1,600,000"
