"gen","seed","scenario","variable","var_label","value","intercept"
0,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.491267079114914,0.5
1,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.589745140075684,0.5
2,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.654894077777863,0.5
3,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.684080564975739,0.5
4,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.686958110332489,0.5
5,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.694565987586975,0.5
0,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.502469611167908,0.5
1,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.603736233711243,0.5
2,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.671368837356567,0.5
3,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.704017627239227,0.5
4,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.715465795993805,0.5
5,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.700830733776093,0.5
0,101,"5xAM","h2_he","hat(italic(h))^2",0.513301306962967,0.5
1,101,"5xAM","h2_he","hat(italic(h))^2",0.558021569252014,0.5
2,101,"5xAM","h2_he","hat(italic(h))^2",0.599868500232697,0.5
3,101,"5xAM","h2_he","hat(italic(h))^2",0.635849118232727,0.5
4,101,"5xAM","h2_he","hat(italic(h))^2",0.66348934173584,0.5
5,101,"5xAM","h2_he","hat(italic(h))^2",0.68320769071579,0.5
0,101,"5xAM","h2_he","hat(italic(h))^2",0.494926661252975,0.5
1,101,"5xAM","h2_he","hat(italic(h))^2",0.536975800991058,0.5
2,101,"5xAM","h2_he","hat(italic(h))^2",0.581893801689148,0.5
3,101,"5xAM","h2_he","hat(italic(h))^2",0.616958022117615,0.5
4,101,"5xAM","h2_he","hat(italic(h))^2",0.631238567829132,0.5
5,101,"5xAM","h2_he","hat(italic(h))^2",0.633663725852966,0.5
0,101,"5xAM","h2_he","hat(italic(h))^2",0.491962313652039,0.5
1,101,"5xAM","h2_he","hat(italic(h))^2",0.528590738773346,0.5
2,101,"5xAM","h2_he","hat(italic(h))^2",0.560389339923859,0.5
3,101,"5xAM","h2_he","hat(italic(h))^2",0.591127955913544,0.5
4,101,"5xAM","h2_he","hat(italic(h))^2",0.608571314811707,0.5
5,101,"5xAM","h2_he","hat(italic(h))^2",0.652859091758728,0.5
0,101,"5xAM + GxE","h2_he","hat(italic(h))^2",0.511821264028549,0.5
1,101,"5xAM + GxE","h2_he","hat(italic(h))^2",0.553907978534699,0.5
