"seed","gen","scenario","variable","value","xAM","args_kmate","power"
104,3,"5xAM","h2_true",0.541240747896186,"5-variate xAM",5,"50%"
104,4,"5xAM","h2_true",0.549476749417152,"5-variate xAM",5,"50%"
104,5,"5xAM","h2_true",0.5455400943638,"5-variate xAM",5,"50%"
104,0,"5xAM","h2_true",0.504758336657373,"5-variate xAM",5,"39%"
104,1,"5xAM","h2_true",0.51703728042594,"5-variate xAM",5,"39%"
104,2,"5xAM","h2_true",0.525264816444473,"5-variate xAM",5,"39%"
104,3,"5xAM","h2_true",0.528685488418097,"5-variate xAM",5,"39%"
104,4,"5xAM","h2_true",0.54037025067054,"5-variate xAM",5,"39%"
104,5,"5xAM","h2_true",0.542983516655728,"5-variate xAM",5,"39%"
105,0,"2xAM","h2_true",0.505389569760284,"2-variate xAM",2,"50%"
105,1,"2xAM","h2_true",0.517114407450247,"2-variate xAM",2,"50%"
105,2,"2xAM","h2_true",0.522667395274869,"2-variate xAM",2,"50%"
105,3,"2xAM","h2_true",0.530233656421795,"2-variate xAM",2,"50%"
105,4,"2xAM","h2_true",0.528521845301016,"2-variate xAM",2,"50%"
105,5,"2xAM","h2_true",0.531053307961506,"2-variate xAM",2,"50%"
105,0,"2xAM","h2_true",0.502078341108053,"2-variate xAM",2,"39%"
105,1,"2xAM","h2_true",0.511978894054523,"2-variate xAM",2,"39%"
105,2,"2xAM","h2_true",0.522149676112484,"2-variate xAM",2,"39%"
105,3,"2xAM","h2_true",0.519768273650146,"2-variate xAM",2,"39%"
105,4,"2xAM","h2_true",0.525327744474538,"2-variate xAM",2,"39%"
105,5,"2xAM","h2_true",0.525733075049984,"2-variate xAM",2,"39%"
105,0,"2xAM","h2_true",0.478665018201227,"2-variate xAM",2,"66%"
105,1,"2xAM","h2_true",0.490350721729039,"2-variate xAM",2,"66%"
105,2,"2xAM","h2_true",0.495073755303778,"2-variate xAM",2,"66%"
105,3,"2xAM","h2_true",0.494074232421686,"2-variate xAM",2,"66%"
105,4,"2xAM","h2_true",0.497952077775095,"2-variate xAM",2,"66%"
105,5,"2xAM","h2_true",0.501083436791597,"2-variate xAM",2,"66%"
105,0,"5xAM","h2_true",0.478025065772032,"5-variate xAM",5,"66%"
105,1,"5xAM","h2_true",0.489052007349444,"5-variate xAM",5,"66%"
105,2,"5xAM","h2_true",0.498258584916941,"5-variate xAM",5,"66%"
105,3,"5xAM","h2_true",0.504857674008714,"5-variate xAM",5,"66%"
105,4,"5xAM","h2_true",0.508171479577261,"5-variate xAM",5,"66%"
105,5,"5xAM","h2_true",0.515181536458909,"5-variate xAM",5,"66%"
105,0,"5xAM","h2_true",0.505201766028825,"5-variate xAM",5,"50%"
105,1,"5xAM","h2_true",0.517664406298731,"5-variate xAM",5,"50%"
105,2,"5xAM","h2_true",0.524767585606631,"5-variate xAM",5,"50%"
105,3,"5xAM","h2_true",0.536573181640786,"5-variate xAM",5,"50%"
105,4,"5xAM","h2_true",0.536309415477126,"5-variate xAM",5,"50%"
105,5,"5xAM","h2_true",0.544899541851541,"5-variate xAM",5,"50%"
105,0,"5xAM","h2_true",0.503118074525289,"5-variate xAM",5,"39%"
105,1,"5xAM","h2_true",0.514926264900733,"5-variate xAM",5,"39%"
105,2,"5xAM","h2_true",0.524277080051254,"5-variate xAM",5,"39%"
105,3,"5xAM","h2_true",0.531677434896424,"5-variate xAM",5,"39%"
105,4,"5xAM","h2_true",0.539361910589483,"5-variate xAM",5,"39%"
105,5,"5xAM","h2_true",0.535324052120797,"5-variate xAM",5,"39%"
106,0,"2xAM","h2_true",0.506980425965746,"2-variate xAM",2,"50%"
106,1,"2xAM","h2_true",0.519948192874098,"2-variate xAM",2,"50%"
106,2,"2xAM","h2_true",0.528377988068761,"2-variate xAM",2,"50%"
106,3,"2xAM","h2_true",0.534559034256213,"2-variate xAM",2,"50%"
106,4,"2xAM","h2_true",0.529849362839652,"2-variate xAM",2,"50%"
106,5,"2xAM","h2_true",0.537943622381853,"2-variate xAM",2,"50%"
106,0,"2xAM","h2_true",0.50857302187543,"2-variate xAM",2,"39%"
106,1,"2xAM","h2_true",0.520303931997401,"2-variate xAM",2,"39%"
106,2,"2xAM","h2_true",0.527372516832861,"2-variate xAM",2,"39%"
106,3,"2xAM","h2_true",0.535618133552212,"2-variate xAM",2,"39%"
106,4,"2xAM","h2_true",0.534185311953815,"2-variate xAM",2,"39%"
106,5,"2xAM","h2_true",0.539609847901324,"2-variate xAM",2,"39%"
106,0,"2xAM","h2_true",0.476900656281969,"2-variate xAM",2,"66%"
106,1,"2xAM","h2_true",0.489087999645778,"2-variate xAM",2,"66%"
106,2,"2xAM","h2_true",0.49640332113354,"2-variate xAM",2,"66%"
106,3,"2xAM","h2_true",0.500167772273483,"2-variate xAM",2,"66%"
106,4,"2xAM","h2_true",0.502982202493847,"2-variate xAM",2,"66%"
106,5,"2xAM","h2_true",0.506393449204964,"2-variate xAM",2,"66%"
106,0,"5xAM","h2_true",0.493116395883748,"5-variate xAM",5,"66%"
106,1,"5xAM","h2_true",0.505008570089547,"5-variate xAM",5,"66%"
106,2,"5xAM","h2_true",0.510574931600172,"5-variate xAM",5,"66%"
106,3,"5xAM","h2_true",0.516894293121045,"5-variate xAM",5,"66%"
