"seed","gen","scenario","variable","value","xAM","args_kmate","power"
102,5,"2xAM","rg_true",0.104510090777998,"2-variate xAM",2,"39%"
102,0,"2xAM","rg_true",0.000214069593554597,"2-variate xAM",2,"66%"
102,1,"2xAM","rg_true",0.0482371256467711,"2-variate xAM",2,"66%"
102,2,"2xAM","rg_true",0.0801718590457945,"2-variate xAM",2,"66%"
102,3,"2xAM","rg_true",0.0990432470233086,"2-variate xAM",2,"66%"
102,4,"2xAM","rg_true",0.0929728694350551,"2-variate xAM",2,"66%"
102,5,"2xAM","rg_true",0.101787607395004,"2-variate xAM",2,"66%"
102,0,"5xAM","rg_true",-0.000541708042877431,"5-variate xAM",5,"66%"
102,1,"5xAM","rg_true",0.0468662464515043,"5-variate xAM",5,"66%"
102,2,"5xAM","rg_true",0.0810424486427958,"5-variate xAM",5,"66%"
102,3,"5xAM","rg_true",0.103557895049787,"5-variate xAM",5,"66%"
102,4,"5xAM","rg_true",0.115746072713882,"5-variate xAM",5,"66%"
102,5,"5xAM","rg_true",0.126261798034154,"5-variate xAM",5,"66%"
102,0,"5xAM","rg_true",-0.000167969410803936,"5-variate xAM",5,"50%"
102,1,"5xAM","rg_true",0.047027488041396,"5-variate xAM",5,"50%"
102,2,"5xAM","rg_true",0.0784269218749898,"5-variate xAM",5,"50%"
102,3,"5xAM","rg_true",0.100697529888908,"5-variate xAM",5,"50%"
102,4,"5xAM","rg_true",0.121184714559601,"5-variate xAM",5,"50%"
102,5,"5xAM","rg_true",0.133539996650039,"5-variate xAM",5,"50%"
102,0,"5xAM","rg_true",0.00060224223862826,"5-variate xAM",5,"39%"
102,1,"5xAM","rg_true",0.0474404890287622,"5-variate xAM",5,"39%"
102,2,"5xAM","rg_true",0.0782061052697282,"5-variate xAM",5,"39%"
102,3,"5xAM","rg_true",0.100281768401136,"5-variate xAM",5,"39%"
102,4,"5xAM","rg_true",0.121145992265943,"5-variate xAM",5,"39%"
102,5,"5xAM","rg_true",0.132748039446153,"5-variate xAM",5,"39%"
103,0,"2xAM","rg_true",0.000616705823307251,"2-variate xAM",2,"50%"
103,1,"2xAM","rg_true",0.0480252876740913,"2-variate xAM",2,"50%"
103,2,"2xAM","rg_true",0.0760072205902552,"2-variate xAM",2,"50%"
103,3,"2xAM","rg_true",0.0937104342056004,"2-variate xAM",2,"50%"
103,4,"2xAM","rg_true",0.111505328051673,"2-variate xAM",2,"50%"
103,5,"2xAM","rg_true",0.110550929898929,"2-variate xAM",2,"50%"
103,0,"2xAM","rg_true",-0.00192650197948612,"2-variate xAM",2,"39%"
103,1,"2xAM","rg_true",0.0459226492646831,"2-variate xAM",2,"39%"
103,2,"2xAM","rg_true",0.0647228700003752,"2-variate xAM",2,"39%"
103,3,"2xAM","rg_true",0.0913156199080164,"2-variate xAM",2,"39%"
103,4,"2xAM","rg_true",0.0904662646023221,"2-variate xAM",2,"39%"
103,5,"2xAM","rg_true",0.0970328475065116,"2-variate xAM",2,"39%"
103,0,"2xAM","rg_true",-0.00254896317119642,"2-variate xAM",2,"66%"
103,1,"2xAM","rg_true",0.0454856076315805,"2-variate xAM",2,"66%"
103,2,"2xAM","rg_true",0.0773923908223251,"2-variate xAM",2,"66%"
103,3,"2xAM","rg_true",0.0891315659391867,"2-variate xAM",2,"66%"
103,4,"2xAM","rg_true",0.106894496029872,"2-variate xAM",2,"66%"
103,5,"2xAM","rg_true",0.112748097349701,"2-variate xAM",2,"66%"
103,0,"5xAM","rg_true",-0.000497364157319909,"5-variate xAM",5,"66%"
