"m_causal","gen","kpheno","alpha","N","pred_t1e","kpheno_label","m_causal_label","relative_t1e"
1000,3,5,5e-08,50000,2.15725945484335e-06,"5",1000,43.145189096867
1000,3,5,5e-08,1e+05,2.28202062062119e-05,"5",1000,456.404124124239
1000,3,5,5e-08,2e+05,0.000427382605160963,"5",1000,8547.65210321927
1000,3,5,5e-08,4e+05,0.00364162791945372,"5",1000,72832.5583890745
1000,3,5,5e-08,8e+05,0.0239388014907826,"5",1000,478776.029815653
1000,3,5,5e-08,1600000,0.115565643524749,"5",1000,2311312.87049498
1000,3,5,5e-08,3200000,0.231687070490498,"5",1000,4633741.40980997
1000,3,5,5e-08,6400000,0.394407600611239,"5",1000,7888152.01222479
2000,3,5,5e-08,50000,4.14843462908598e-07,"5",2000,8.29686925817197
2000,3,5,5e-08,1e+05,2.02492701216894e-06,"5",2000,40.4985402433788
2000,3,5,5e-08,2e+05,2.03643450646603e-05,"5",2000,407.286901293207
2000,3,5,5e-08,4e+05,0.000197685134164342,"5",2000,3953.70268328685
2000,3,5,5e-08,8e+05,0.00351616876595189,"5",2000,70323.3753190377
2000,3,5,5e-08,1600000,0.0253231211678396,"5",2000,506462.423356792
2000,3,5,5e-08,3200000,0.101163169750496,"5",2000,2023263.39500992
2000,3,5,5e-08,6400000,0.2413086563158,"5",2000,4826173.126316
4000,3,5,5e-08,50000,1.51987800266928e-07,"5",4000,3.03975600533857
4000,3,5,5e-08,1e+05,3.8515770685571e-07,"5",4000,7.7031541371142
4000,3,5,5e-08,2e+05,1.93526245577175e-06,"5",4000,38.7052491154349
4000,3,5,5e-08,4e+05,3.06980198851016e-05,"5",4000,613.960397702031
4000,3,5,5e-08,8e+05,0.000399198297539717,"5",4000,7983.96595079435
4000,3,5,5e-08,1600000,0.00404824315329932,"5",4000,80964.8630659865
4000,3,5,5e-08,3200000,0.0289020101604322,"5",4000,578040.203208643
4000,3,5,5e-08,6400000,0.105872671398208,"5",4000,2117453.42796416
8000,3,5,5e-08,50000,8.97771044005013e-08,"5",8000,1.79554208801003
8000,3,5,5e-08,1e+05,1.68142833212759e-07,"5",8000,3.36285666425518
8000,3,5,5e-08,2e+05,3.97016012379403e-07,"5",8000,7.94032024758806
8000,3,5,5e-08,4e+05,1.80164127099025e-06,"5",8000,36.032825419805
8000,3,5,5e-08,8e+05,2.02143937172956e-05,"5",8000,404.287874345912
8000,3,5,5e-08,1600000,0.000382938896041571,"5",8000,7658.77792083141
8000,3,5,5e-08,3200000,0.00372688263553907,"5",8000,74537.6527107815
8000,3,5,5e-08,6400000,0.0275796895333538,"5",8000,551593.790667075
16000,3,5,5e-08,50000,6.77944166444511e-08,"5",16000,1.35588833288902
16000,3,5,5e-08,1e+05,9.11287477266542e-08,"5",16000,1.82257495453308
16000,3,5,5e-08,2e+05,1.44333328233881e-07,"5",16000,2.88666656467762
16000,3,5,5e-08,4e+05,4.22090117267571e-07,"5",16000,8.44180234535141
16000,3,5,5e-08,8e+05,2.78883401989577e-06,"5",16000,55.7766803979154
16000,3,5,5e-08,1600000,1.62252238372479e-05,"5",16000,324.504476744959
16000,3,5,5e-08,3200000,0.000324645414093333,"5",16000,6492.90828186665
16000,3,5,5e-08,6400000,0.00379461111765052,"5",16000,75892.2223530103
1000,5,2,5e-08,50000,2.38071628812064e-06,"2",1000,47.6143257624129
1000,5,2,5e-08,1e+05,2.41952873538828e-05,"2",1000,483.905747077655
1000,5,2,5e-08,2e+05,0.000479102620289698,"2",1000,9582.05240579396
1000,5,2,5e-08,4e+05,0.00449191621965234,"2",1000,89838.3243930467
1000,5,2,5e-08,8e+05,0.0346532941865937,"2",1000,693065.883731875
1000,5,2,5e-08,1600000,0.109783520387505,"2",1000,2195670.40775011
1000,5,2,5e-08,3200000,0.252631254471422,"2",1000,5052625.08942845
1000,5,2,5e-08,6400000,0.419908621079315,"2",1000,8398172.4215863
2000,5,2,5e-08,50000,4.43625552934201e-07,"2",2000,8.87251105868403
2000,5,2,5e-08,1e+05,3.00108183688191e-06,"2",2000,60.0216367376383
2000,5,2,5e-08,2e+05,1.86365842951391e-05,"2",2000,372.731685902782
2000,5,2,5e-08,4e+05,0.000427503282661229,"2",2000,8550.06565322458
2000,5,2,5e-08,8e+05,0.00531845614146913,"2",2000,106369.122829383
2000,5,2,5e-08,1600000,0.0298396089418144,"2",2000,596792.178836289
2000,5,2,5e-08,3200000,0.110938689292249,"2",2000,2218773.78584499
2000,5,2,5e-08,6400000,0.251932039661082,"2",2000,5038640.79322163
4000,5,2,5e-08,50000,1.67547092139952e-07,"2",4000,3.35094184279905
4000,5,2,5e-08,1e+05,4.37393692565347e-07,"2",4000,8.74787385130693
4000,5,2,5e-08,2e+05,2.91140806174822e-06,"2",4000,58.2281612349644
4000,5,2,5e-08,4e+05,2.49774318820154e-05,"2",4000,499.548637640308
4000,5,2,5e-08,8e+05,0.0003751849308822,"2",4000,7503.698617644
4000,5,2,5e-08,1600000,0.00469727149660526,"2",4000,93945.4299321052
4000,5,2,5e-08,3200000,0.0301772862787901,"2",4000,603545.725575801
4000,5,2,5e-08,6400000,0.113041316402481,"2",4000,2260826.32804962
8000,5,2,5e-08,50000,9.37398697063996e-08,"2",8000,1.87479739412799
8000,5,2,5e-08,1e+05,1.72352172984391e-07,"2",8000,3.44704345968783
8000,5,2,5e-08,2e+05,4.92177532170013e-07,"2",8000,9.84355064340026
8000,5,2,5e-08,4e+05,2.21852949421347e-06,"2",8000,44.3705898842695
8000,5,2,5e-08,8e+05,2.48331051960265e-05,"2",8000,496.662103920531
8000,5,2,5e-08,1600000,0.000188012149849164,"2",8000,3760.24299698328
8000,5,2,5e-08,3200000,0.004606631628183,"2",8000,92132.63256366
8000,5,2,5e-08,6400000,0.0309818450464729,"2",8000,619636.900929457
16000,5,2,5e-08,50000,6.85987958496392e-08,"2",16000,1.37197591699278
16000,5,2,5e-08,1e+05,9.19906036291884e-08,"2",16000,1.83981207258377
16000,5,2,5e-08,2e+05,1.6382307354923e-07,"2",16000,3.27646147098459
16000,5,2,5e-08,4e+05,4.51822883487274e-07,"2",16000,9.03645766974548
16000,5,2,5e-08,8e+05,2.26030486262863e-06,"2",16000,45.2060972525725
16000,5,2,5e-08,1600000,2.23101653155955e-05,"2",16000,446.20330631191
16000,5,2,5e-08,3200000,0.000340813330444544,"2",16000,6816.26660889087
16000,5,2,5e-08,6400000,0.0046195517690062,"2",16000,92391.035380124
1000,5,5,5e-08,50000,8.90237951352335e-06,"5",1000,178.047590270467
1000,5,5,5e-08,1e+05,0.000115587343427221,"5",1000,2311.74686854442
1000,5,5,5e-08,2e+05,0.00286151594843085,"5",1000,57230.3189686171
1000,5,5,5e-08,4e+05,0.0191143908541575,"5",1000,382287.81708315
1000,5,5,5e-08,8e+05,0.0726304667799749,"5",1000,1452609.3355995
1000,5,5,5e-08,1600000,0.20462055595388,"5",1000,4092411.11907761
1000,5,5,5e-08,3200000,0.373896024087492,"5",1000,7477920.48174984
1000,5,5,5e-08,6400000,0.491698413963172,"5",1000,9833968.27926344
2000,5,5,5e-08,50000,1.63601080989578e-06,"5",2000,32.7202161979157
2000,5,5,5e-08,1e+05,1.2806629816905e-05,"5",2000,256.1325963381
2000,5,5,5e-08,2e+05,0.00021350143524488,"5",2000,4270.0287048976
2000,5,5,5e-08,4e+05,0.00248419764005767,"5",2000,49683.9528011533
2000,5,5,5e-08,8e+05,0.020097946602501,"5",2000,401958.93205002
2000,5,5,5e-08,1600000,0.0784906094221215,"5",2000,1569812.18844243
2000,5,5,5e-08,3200000,0.192445463161586,"5",2000,3848909.26323171
2000,5,5,5e-08,6400000,0.347913428847995,"5",2000,6958268.5769599
4000,5,5,5e-08,50000,2.95456379212633e-07,"5",4000,5.90912758425266
4000,5,5,5e-08,1e+05,1.21295936882521e-06,"5",4000,24.2591873765041
4000,5,5,5e-08,2e+05,2.22010478818873e-05,"5",4000,444.020957637746
4000,5,5,5e-08,4e+05,0.000235996385002639,"5",4000,4719.92770005278
4000,5,5,5e-08,8e+05,0.00222300942317966,"5",4000,44460.1884635932
4000,5,5,5e-08,1600000,0.0182250986977658,"5",4000,364501.973955315
4000,5,5,5e-08,3200000,0.0806897283742922,"5",4000,1613794.56748584
4000,5,5,5e-08,6400000,0.19793093706338,"5",4000,3958618.7412676
8000,5,5,5e-08,50000,1.30594762298208e-07,"5",8000,2.61189524596417
8000,5,5,5e-08,1e+05,3.27241142319523e-07,"5",8000,6.54482284639046
8000,5,5,5e-08,2e+05,1.32312883407237e-06,"5",8000,26.4625766814475
8000,5,5,5e-08,4e+05,1.05812320805723e-05,"5",8000,211.624641611446
8000,5,5,5e-08,8e+05,0.00022149311250364,"5",8000,4429.86225007281
8000,5,5,5e-08,1600000,0.00208549778754306,"5",8000,41709.9557508612
8000,5,5,5e-08,3200000,0.0190355579715884,"5",8000,380711.159431768
8000,5,5,5e-08,6400000,0.0778395793063664,"5",8000,1556791.58612733
16000,5,5,5e-08,50000,8.13721084306218e-08,"5",16000,1.62744216861244
16000,5,5,5e-08,1e+05,1.33741675934329e-07,"5",16000,2.67483351868658
16000,5,5,5e-08,2e+05,3.45073657565476e-07,"5",16000,6.90147315130951
16000,5,5,5e-08,4e+05,1.63281286820488e-06,"5",16000,32.6562573640976
16000,5,5,5e-08,8e+05,9.10911269025527e-06,"5",16000,182.182253805105
16000,5,5,5e-08,1600000,0.000124460957540666,"5",16000,2489.21915081332
16000,5,5,5e-08,3200000,0.00162248570216261,"5",16000,32449.7140432521
16000,5,5,5e-08,6400000,0.0209160267522213,"5",16000,418320.535044426
