"","Trait1","Trait2","r.xmate.yz","r.xmate.yy","r.xmate.zz","r.wmate.yz","r.xmate.yz.maxent","r.xmate.yz.maxentdiff","rse.xmate.yz","rse.xmate.yy","rse.xmate.zz","rse.wmate.yz","rse.xmate.yz.maxent","rse.xmate.yz.maxentdiff","p.xmate.yz.maxentdiff","p.xmate.yz.maxent","p.xmate.yz","p.xmate.yy","p.xmate.zz","p.wmate.yz"
"244","eduyears_mean","SRT_left_earliest",-0.0320285710689927,0.455310397955203,0.0891190568916349,-0.0473241977916083,-0.0247221134720186,-0.0073064575969741,0.0050145999846594,0.0041490858201873,0.0058591932094832,0.0049498465331737,0.00259980639780434,0.00537386980710794,0.173948041802716,1.92109903106195e-21,1.6910087295954e-10,0,3.02967441957408e-52,1.16917224659623e-21
"245","eduyears_mean","SRT_right_earliest",-0.0337699353568701,0.455310397955203,0.100688045240085,-0.0494170577508237,-0.0262283158965674,-0.00754161946030271,0.0052959199322005,0.004279360126652,0.0059840577693376,0.0049301943398263,0.002631488210459,0.00559748180961481,0.177876027765743,2.12330331646602e-23,1.81068719036819e-10,0,1.5725345009518e-63,1.20354374184436e-23
"246","eduyears_mean","birth_weight_mean",0.0291869313032708,0.455310397955203,0.0391233624660582,0.034646775029966,0.0168160217963149,0.0123709095069559,0.0049879191353032,0.0041558519509181,0.0052991146533802,0.0051109498733073,0.0024938338723266,0.00551388863101464,0.0248587452201292,1.55106380801058e-11,4.87087349975353e-09,0,1.54762250677397e-13,1.2106857406719e-11
"247","eduyears_mean","waist_hip_ratio_earliest",-0.114143846682267,0.455310397955203,0.156265133222787,-0.138348932574836,-0.0780413164585026,-0.0361025302237644,0.0048832713803753,0.0041288693378283,0.0050340340392105,0.0049146175210927,0.00287017502135647,0.00527136484986373,7.44713695430071e-12,8.42666777343047e-163,7.77393318360656e-121,0,1.47513143411777e-211,2.36295332305791e-174
"248","eduyears_mean","neuroticism_score",-0.0603737175244709,0.455310397955203,0.0279111884474332,-0.108626578944401,-0.0513688928439333,-0.00900482468053758,0.0050965998417813,0.0042467368370677,0.0050688085921939,0.0049008850504998,0.00238671320528225,0.00532809291605152,0.0910154723223925,9.51121045373716e-103,2.26029220765564e-32,0,3.66122462174727e-08,7.52930243499323e-109
"249","eduyears_mean","self_reported_health_earliest",0.136292218374164,0.455310397955203,0.145136271293067,0.170656095640297,0.0943301877987623,0.0419620305754017,0.0048647775644234,0.0042871210688261,0.0050503266459588,0.0046785862733883,0.00276646169435694,0.00524530564737193,1.24499105859791e-15,7.95813293848359e-255,1.03370834344191e-172,0,1.27947692575257e-181,2.66422373824642e-291
"250","eduyears_mean","lifetime_sexual_partners_mean",0.0348677587615347,0.455310397955203,0.170850074010349,0.0492884889778723,0.0285927699376741,0.00627498882386055,0.0050569064473088,0.0042222183594988,0.0090607647105387,0.0047851897991575,0.002779626452786,0.0053515928640713,0.24097791378206,8.10266741817795e-25,5.3835677767802e-12,0,2.62170252749196e-79,7.0303196085248e-25
"251","eduyears_mean","alcohol_intake_frequency_earliest",0.138014148947313,0.455310397955203,0.466523480841898,0.15493255653345,0.116800696877787,0.0212134520695258,0.0051665058380954,0.0041135157637102,0.0046408787101172,0.0050790534490877,0.00384489763369802,0.00490038877424161,1.49833866531999e-05,1.06931631857212e-202,3.30262395271343e-157,0,0,2.29092478951399e-204
"252","eduyears_mean","max_daily_cigarettes",-0.0894203237493952,0.455310397955203,0.0740719456085177,-0.129956761920964,-0.0657552988799004,-0.0236650248694948,0.0046957158279425,0.0042112743421766,0.0057104617212799,0.0051481451812324,0.00269884879823558,0.00513063704913573,3.97868920206341e-06,4.09955897180972e-131,7.5159102481714e-81,0,1.78053525968832e-38,1.33777698416294e-140
"253","eduyears_mean","sleep_duration_earliest",0.0202257211027143,0.455310397955203,0.112644598240122,0.0123040152964218,0.0066467613083876,0.0135789597943267,0.0049886527438431,0.0041642787230941,0.0054019171668881,0.0049830378507135,0.00269102482451578,0.00547264137796966,0.0130924635909903,0.0135122878474317,5.0274895196877e-05,0,1.44037509625702e-96,0.0135423239377405
